TaxID;output/DNA_220616_20-22hmix_cer_BIOMcombi_S19_kaiju.out
0;7324158
1;90616
2;9526
7;26
9;26
10;18
11;1
14;17
16;3
19;1
20;1
21;1
22;198
24;2
25;1
29;1
31;5
32;3
33;1
34;3
35;1
40;4
43;1
47;2
48;4
51;3
52;1
56;4
59;108
61;21
63;2
64;2
68;10
69;10
72;20
75;5
82;3
84;4
85;2
93;1
99;1
100;9
102;3
103;17
104;8
105;7
106;12
107;18
113;1
114;2
119;3
122;1
126;1
128;3
133;4
134;1
136;1
137;1
138;3
144;6
148;1
150;1
156;18
157;26
158;43
159;2
162;25
163;29
164;15
165;2
166;31
167;4
171;25
173;7
178;3
180;3
183;1
188;1
189;4
190;2
191;27
192;9
193;1
194;91
195;110
196;97
197;92
198;9
199;46
200;39
201;20
202;9
204;5
206;3
209;90
210;92
213;1
215;13
216;8
217;8
222;83
226;11
232;7
234;62
235;2
237;740
238;86
239;145
244;21
245;10
247;18
249;1
250;21
253;132
254;38
256;78
258;9
262;21
263;2
265;214
266;72
270;7
274;31
276;4
277;10
279;3
283;293
285;59
286;1156
287;461
292;22
293;10
294;89
296;18
297;8
298;2
300;52
301;72
303;173
305;52
306;20
316;265
317;42
321;4
329;22
337;12
338;40
339;19
343;9
346;10
347;2
349;11
350;37
352;41
353;43
354;15
356;159
357;12
358;94
359;49
373;18
374;43
375;27
376;2
379;72
380;24
381;8
382;129
384;55
385;1
391;18
396;2
399;18
403;4
404;3
405;4
406;2
407;12
408;7
409;14
410;4
414;9
415;4
416;10
418;3
421;5
425;1
429;2
433;19
434;30
436;1
438;5
441;4
442;11
444;4
445;9
446;16
447;1
449;4
451;9
452;4
453;1
458;2
466;27
468;306
469;25073
470;2955
471;73
472;409
475;247
476;41
477;28
478;437
479;4
480;286
481;160
482;519
483;14
485;22
486;82
487;165
488;4
490;2
492;7
493;1
494;15
495;1
496;1
497;235
498;5
502;9
504;13
505;1
506;76
507;10
511;86
517;5
518;24
519;16
521;22
522;3
523;1
529;97
531;5
533;1
535;47
536;20
537;3
538;13
539;86
542;1
543;780
544;64
545;40
546;108
547;68
548;29
549;11
550;26
552;12
553;17
554;16
555;5
556;1
561;34
562;1635
563;2
564;31
565;15
566;2
568;2
569;7
570;133
571;8
573;472
575;5
577;7
580;7
581;4
582;27
583;23
584;49
585;11
586;59
587;20
588;7
590;10
613;69
614;7
615;54
621;1
622;1
623;4
624;8
626;23
628;5
629;137
630;26
631;16
632;18
633;9
635;3
636;35
637;3
638;6
641;22
642;2230
644;252
645;105
646;59
647;2
648;385
649;9
650;33
651;109
652;6
654;576
656;47
657;12
659;5
662;246
663;73
666;30
669;7
670;55
672;21
673;3
674;1
676;2
680;3
685;4
687;2
689;7
691;4
693;1
702;1
703;18
712;195
713;33
714;16
715;11
717;1
720;4
722;3
723;1
724;23
726;6
727;18
728;59
729;13
730;2
731;26
732;1
733;1
734;2
735;3
738;45
739;1
745;26
747;41
749;1
750;29
752;1
753;1
756;7
757;20
758;18
761;25
773;18
777;1
780;1
809;14
810;3
813;354
815;1242
816;1865
817;381
818;294
820;163
821;299
823;810
824;1
826;1680
827;6
830;79
831;64
832;28
833;3
836;28
837;180
838;1814
839;124
840;3
841;65
844;18
847;20
848;153
849;32
850;121
851;22
852;73
853;194
854;4
856;12
858;7
859;119
860;1
861;126
863;8
864;18
865;602
866;2
867;2
870;119
872;102
873;12
876;419
879;4
881;9
889;1
890;2
891;7
892;7
893;5
894;97
895;12
897;4
898;16
899;1
901;36
904;21
905;2
906;51
907;99
911;1
912;10
913;4
914;12
916;2
917;36
920;3
921;1
923;2
924;14
929;4
930;19
933;1
940;3
943;2
948;4
958;5
959;90
960;19
963;10
964;2
965;34
966;330
970;36
971;165
972;4
976;795
978;1
982;12
983;19
985;8
986;4
989;42
990;80
991;4
995;4
996;176
997;5
998;20
999;8
1002;2
1003;6
1004;10
1008;5
1010;11
1014;84
1015;108
1016;117
1018;7
1019;3
1021;3
1022;3
1026;1
1027;10
1030;63
1031;30
1032;5
1034;13
1035;8
1041;9
1042;4
1046;21
1047;1
1050;1
1052;6
1054;7
1056;1
1057;7
1060;14
1061;18
1063;80
1064;1
1066;4
1067;11
1068;3
1073;1
1074;6
1075;1
1076;18
1079;2
1083;2
1084;4
1085;5
1086;2
1088;7
1092;1
1094;3
1095;11
1100;1
1101;1
1102;1
1117;61
1118;5
1122;2
1125;12
1126;13
1142;1
1150;45
1151;18
1153;1
1158;1
1160;4
1161;31
1162;4
1163;3
1164;1
1177;1
1179;3
1186;2
1190;1
1198;1
1218;5
1219;11
1224;4146
1227;4
1229;6
1231;18
1233;5
1234;29
1236;2243
1239;1964
1243;74
1244;10
1245;32
1246;29
1247;13
1249;6
1251;1
1252;5
1253;3
1254;5
1255;13
1257;4
1260;36
1261;12
1263;447
1264;204
1265;95
1266;2
1267;5
1268;12
1269;1
1270;17
1273;5
1279;323
1280;4921
1281;1
1282;40
1283;85
1284;2
1285;1
1286;9
1288;11
1290;66
1292;2
1293;3
1294;2
1296;113
1298;13
1300;41
1301;2992
1302;3
1303;17
1304;12
1305;12
1306;13
1307;7380
1308;94
1309;16
1310;3
1311;1089
1313;614
1314;214
1317;4
1318;12
1322;17
1323;17
1326;67
1328;92
1329;18
1334;1004
1335;24
1336;87
1337;98
1338;26
1340;50
1345;2
1346;725
1348;233
1349;1389
1350;544
1351;1014
1352;158
1353;121
1354;6
1355;4
1356;8
1357;410
1358;472
1359;56
1360;13
1363;62
1364;79
1365;1
1366;257
1372;8
1373;7
1375;15
1376;15
1377;26
1378;12
1380;2
1381;1
1382;3
1385;309
1386;590
1390;14
1391;18
1392;20
1393;37
1396;293
1397;72
1398;23
1399;16
1401;6
1402;52
1404;116
1405;714
1406;48
1408;109
1413;1
1418;1
1421;66
1422;13
1423;96
1426;8
1428;102
1445;1
1449;1
1450;16
1451;13
1452;47
1454;11
1455;47
1456;2
1458;1
1459;10
1461;4
1462;2
1464;39
1465;97
1467;28
1471;19
1472;10
1473;8
1474;1
1476;2
1477;1
1478;28
1482;23
1484;2
1485;1083
1488;12
1490;112
1491;1013
1492;117
1493;13
1494;77
1495;1
1496;186
1497;45
1498;11
1499;12
1501;38
1502;457
1503;24
1504;19
1505;99
1506;56
1509;129
1510;9
1511;665
1512;85
1513;31
1515;16
1516;8
1517;2
1519;82
1520;364
1521;20
1522;110
1525;8
1526;6
1527;309
1528;179
1529;46
1530;14
1531;138
1532;12
1533;5
1534;98
1535;9
1537;10
1538;4
1540;21
1541;44
1542;6
1544;6
1547;107
1548;2
1551;5
1553;4
1556;42
1557;33
1559;30
1561;15
1563;9
1564;26
1565;2
1569;13
1570;3
1575;51
1578;33
1579;4
1580;23
1581;8
1582;8
1583;24
1584;176
1587;6
1588;2
1589;5
1590;91
1591;15
1596;3
1597;73
1598;121
1599;44
1600;2
1601;9
1603;1
1605;5
1607;3
1610;165
1612;1
1613;108
1614;1
1615;2
1618;19
1620;2
1622;12
1623;14
1624;88
1625;5
1629;586
1630;15
1631;2
1632;7
1633;2
1637;136
1639;322
1640;9
1641;5
1642;4
1643;1
1647;11
1649;3
1652;19
1654;8
1657;4
1659;1
1661;3
1663;9
1664;5
1670;5
1678;24
1679;1
1680;16
1681;7
1684;5
1685;2
1688;1
1693;2
1694;7
1696;19
1703;1
1707;4
1708;1
1710;6
1716;74
1717;20
1718;1
1724;1
1725;1
1730;63
1731;42
1732;14
1735;14
1736;303
1737;1
1744;15
1747;2
1748;3
1750;2
1754;1
1760;227
1762;18
1763;4
1764;3
1766;7
1767;4
1768;5
1771;3
1773;17
1774;4
1778;11
1780;1
1781;1
1784;1
1793;3
1797;1
1813;3
1817;11
1823;1
1827;32
1828;79
1829;4
1830;6
1833;8
1835;4
1839;6
1843;1
1847;3
1848;4
1849;6
1850;1
1852;6
1854;4
1863;2
1865;2
1867;1
1869;2
1873;2
1881;1
1883;55
1889;2
1907;2
1912;2
1914;1
1922;2
1927;2
1930;1
1988;1
1991;2
1992;1
2000;1
2002;2
2004;4
2005;3
2013;3
2021;1
2023;4
2024;2
2033;2
2034;6
2035;5
2045;9
2047;2
2049;11
2051;3
2052;1
2053;10
2054;2
2055;1
2061;9
2062;10
2070;6
2071;1
2074;1
2077;6
2088;2
2092;3
2093;5
2095;13
2098;2
2102;6
2109;1
2110;3
2112;2
2114;1
2118;1
2123;1
2132;2
2133;1
2136;2
2137;1
2139;2
2143;1
2146;16
2148;3
2151;3
2157;34
2159;2
2160;8
2162;6
2164;2
2172;37
2173;10
2177;11
2191;24
2194;1
2197;7
2202;1
2203;1
2205;6
2206;9
2207;24
2208;7
2209;59
2210;2
2213;1
2214;5
