TaxID;output/DNA_220629_22-24hmix_cer_BIOMcombi_S26_kaiju.out
0;24633478
1;246918
2;25314
7;44
9;41
10;13
11;2
14;39
16;14
19;17
20;2
21;4
22;472
23;1
24;3
25;5
29;4
31;15
32;8
34;1
35;1
39;4
40;4
41;5
42;1
48;13
49;1
50;1
51;2
52;3
53;8
54;1
56;24
59;259
61;85
63;7
64;9
68;15
69;15
72;44
75;2
81;2
82;19
84;5
85;2
93;2
99;2
100;49
102;46
103;48
104;44
105;19
106;39
107;110
113;8
114;11
119;18
120;1
122;1
124;3
125;4
126;1
128;6
134;1
136;17
137;5
138;6
144;10
146;1
150;8
154;2
156;128
157;113
158;195
159;6
162;82
163;68
164;83
165;17
166;134
167;39
171;114
172;6
173;23
174;1
178;9
179;2
180;11
183;1
187;1
188;2
189;3
190;42
191;100
192;38
193;3
194;450
195;182
196;798
197;362
198;55
199;337
200;124
201;76
202;45
204;44
205;1
206;19
209;274
210;156
213;6
214;3
215;49
216;15
217;6
222;161
226;27
232;17
234;101
235;8
237;2530
238;341
239;612
244;65
245;24
247;47
250;137
251;4
253;480
254;246
256;283
258;52
259;1
262;30
263;3
265;122
266;262
270;9
274;119
276;6
277;14
279;12
281;1
283;653
285;163
286;2440
287;1384
292;58
293;27
294;199
296;58
297;34
298;4
300;182
301;209
303;896
304;1
305;124
306;28
316;742
317;71
321;8
323;2
329;72
337;37
338;80
339;28
343;8
346;25
347;6
349;8
350;33
351;2
352;34
353;69
354;57
356;417
357;42
358;251
359;120
373;65
374;132
375;43
376;4
379;144
380;81
381;20
382;376
384;191
391;62
394;1
396;1
398;1
399;29
403;12
405;9
406;2
407;35
408;12
409;52
410;11
414;48
415;14
416;18
418;8
421;7
425;17
429;14
433;63
434;107
435;1
438;17
441;15
442;34
444;2
445;24
446;45
447;1
449;9
451;16
452;18
454;1
455;1
458;1
459;4
466;50
468;735
469;57223
470;8053
471;178
472;1116
475;539
476;91
477;55
478;1611
479;16
480;871
481;258
482;438
483;9
484;1
485;33
486;47
487;189
488;2
489;2
490;13
492;6
494;18
495;3
496;3
497;255
498;12
502;3
504;17
505;5
506;110
507;60
511;612
517;34
518;51
519;84
520;1
521;46
522;11
523;3
525;3
529;446
531;16
533;1
535;210
536;81
537;18
538;36
539;78
542;2
543;2313
544;133
545;58
546;314
547;212
