TaxID;output/DNA_220707_20-22mix_cer_BIOMcombi_S29_kaiju.out
0;5687847
1;113719
2;10125
7;12
9;11
10;8
11;1
14;17
16;2
19;3
20;3
21;1
22;129
24;4
25;1
29;1
31;7
32;2
35;4
39;1
41;2
48;4
50;1
51;1
53;2
54;1
56;7
59;158
61;23
63;4
64;2
68;4
69;4
72;13
75;4
82;4
99;3
100;24
102;9
103;12
104;11
105;4
106;3
107;13
119;7
124;1
125;1
126;2
128;1
136;3
144;8
148;3
150;2
154;2
156;29
157;36
158;26
159;1
162;21
163;22
164;18
165;2
166;42
167;11
171;36
172;4
173;2
179;2
180;1
183;1
189;2
190;8
191;45
192;9
194;70
195;22
196;64
197;76
198;6
199;44
200;25
201;12
202;9
204;5
205;4
206;1
209;47
210;28
212;1
213;2
215;5
222;50
226;7
232;7
234;27
235;3
237;443
238;48
239;121
244;13
245;2
247;7
250;27
253;92
254;46
256;40
258;14
262;12
265;34
266;46
270;2
271;4
274;16
276;2
277;3
279;1
283;233
285;57
286;733
287;602
292;15
293;13
294;59
296;6
297;8
300;56
301;73
303;730
305;43
306;9
316;196
317;21
321;2
329;20
337;8
338;23
339;5
343;3
346;1
347;5
349;4
350;9
352;9
353;18
354;6
356;90
357;10
358;79
359;25
373;16
374;33
375;13
376;3
379;38
380;19
381;12
382;81
384;55
391;15
398;1
399;13
403;6
405;2
406;1
407;12
408;7
409;13
410;6
414;4
415;5
416;6
418;2
421;1
425;3
429;3
433;11
434;40
436;2
438;6
441;5
442;3
444;4
445;5
446;19
449;1
451;3
452;1
454;1
459;3
466;16
468;228
469;15788
470;1997
471;64
472;185
475;253
476;74
477;30
478;296
479;13
480;290
481;104
482;315
483;8
485;13
486;67
487;56
488;5
489;1
490;3
492;7
494;22
496;6
497;108
498;5
502;6
504;6
505;1
506;36
507;9
511;64
517;7
518;7
519;38
521;17
522;3
529;75
533;1
535;66
536;48
537;7
538;13
539;51
542;2
543;995
544;64
545;43
546;142
547;90
548;27
549;13
550;105
552;8
553;9
554;20
555;4
556;1
561;39
562;1625
563;1
564;12
565;4
566;1
568;1
569;8
570;159
571;15
573;503
575;5
577;3
579;4
580;3
581;2
582;27
583;27
584;20
585;6
586;45
587;28
588;3
590;16
596;1
600;2
613;54
614;13
615;56
623;1
624;6
626;16
628;4
629;186
630;18
631;26
632;26
633;24
635;3
636;46
637;2
638;10
641;17
642;3107
644;464
645;145
646;140
647;20
648;692
649;6
650;86
651;95
652;10
654;1074
656;70
657;16
659;10
662;104
663;52
666;43
668;3
669;14
670;43
672;9
674;1
675;1
676;6
685;1
687;7
689;1
691;6
702;3
703;18
712;86
713;4
714;11
715;15
716;1
720;2
722;1
724;14
726;8
727;12
728;65
729;10
730;4
731;21
732;2
733;6
734;5
735;1
738;37
745;14
747;45
749;4
750;38
751;1
752;1
756;3
757;29
758;9
761;28
766;2
773;26
780;1
809;11
810;2
813;1912
815;1424
816;2695
817;321
818;295
820;154
821;295
823;859
826;772
827;5
830;123
831;45
832;50
833;3
836;30
837;170
838;2517
839;89
840;4
841;403
844;10
847;24
848;99
849;9
850;50
851;14
852;49
853;1462
854;2
856;27
858;2
859;92
860;1
861;84
863;7
864;25
865;814
866;1
867;2
870;48
872;168
873;17
876;734
878;3
879;6
880;1
881;19
889;2
890;1
891;9
892;5
893;2
894;341
895;15
897;1
898;44
901;51
904;24
905;4
906;60
907;135
912;3
914;12
915;17
916;6
917;32
919;2
920;10
924;16
929;1
930;29
931;1
933;2
935;3
940;1
948;5
953;1
958;14
959;92
960;65
963;8
964;3
965;21
966;362
970;57
971;244
972;7
976;841
978;1
979;1
982;11
983;22
985;12
986;9
988;1
989;27
990;118
991;2
995;5
996;120
998;6
999;2
1002;2
1003;5
1004;12
1006;2
1008;5
1010;4
1014;27
1015;84
1016;37
1017;1
1018;7
1019;1
1021;1
1026;1
1027;2
1028;1
1030;6
1031;4
1032;4
1033;1
1034;2
1035;4
1041;5
1042;4
1046;13
1049;6
1050;1
1051;1
1052;2
1053;3
1054;10
1056;1
1057;3
1060;1
1061;17
1063;51
1064;2
1066;3
1067;5
1068;2
1069;1
1073;4
1074;7
1075;4
1076;2
1079;2
1082;3
1083;3
1086;6
1088;4
1091;1
1092;1
1095;5
1097;1
1098;2
1101;3
1117;47
1122;1
1124;3
1125;14
1126;10
1150;34
1151;9
1153;1
1160;9
1161;112
1162;3
1163;2
1166;5
1175;5
1176;11
1177;12
1179;1
1186;7
1190;1
1218;14
1219;6
1224;3112
1227;1
1229;6
1231;7
1233;3
1234;14
1236;1806
1239;2753
1243;55
1244;12
1245;29
1246;30
1247;4
1249;11
1251;2
1252;9
1253;6
1254;3
1255;5
1257;5
1260;32
1261;5
1263;429
1264;186
1265;97
1266;1
1267;5
1268;6
1269;4
1270;9
1273;6
1274;2
1275;1
1279;258
1280;5602
1281;3
1282;82
1283;65
1284;1
1285;1
1286;4
1288;12
1290;46
1292;3
1293;4
1296;120
1298;10
1299;1
1300;46
1301;3330
1302;6
1303;20
1304;7
1305;17
1306;6
1307;7757
1308;115
1309;14
1310;2
1311;1059
1313;214
1314;209
1318;12
1322;23
1323;22
1326;97
1328;96
1329;23
1334;895
1335;36
1336;90
1337;170
1338;14
1340;30
1343;1
1345;6
1346;552
1348;197
1349;1356
1350;310
1351;907
1352;151
1353;68
1354;4
1355;6
1356;1
1357;331
1358;353
1359;31
1360;10
1363;28
1364;56
1365;1
1366;149
1371;3
1372;3
1373;7
1375;18
1376;19
1377;125
1378;9
1380;3
1381;5
1383;1
1385;237
1386;448
1390;9
1391;30
1392;2
1393;21
1396;233
1397;61
1398;10
1399;12
1401;5
1402;57
1404;71
1405;1229
1406;23
1408;80
1421;77
1422;13
1423;84
1426;6
1428;86
1430;1
1445;1
1449;2
1450;31
1451;10
1452;51
1454;1
1455;31
1456;5
1459;4
1462;3
1464;27
1465;67
1467;30
1471;27
1472;8
1473;6
1474;1
1476;5
1478;13
1482;21
1484;2
1485;1301
1488;16
1490;108
1491;903
1492;120
1493;23
1494;93
1495;7
1496;216
1497;35
1498;15
1499;29
1501;27
1502;341
1503;20
1504;7
1505;106
1506;82
1509;97
1510;5
1511;627
1512;104
1513;26
1515;8
1516;2
1517;4
1519;89
1520;427
1521;16
1522;107
1525;3
1526;4
1527;265
1528;674
1529;61
1530;10
1531;128
1532;11
1533;7
1534;80
1535;9
1537;8
1538;4
1540;32
1541;41
1542;3
1544;4
1547;73
1548;1
1551;4
1553;3
1556;34
1557;31
1559;19
1561;11
1563;1
1564;30
1565;3
1569;17
1575;33
1578;51
1579;3
1580;11
1581;6
1583;18
1584;319
1585;3
1587;10
1588;1
1589;2
1590;84
1591;11
1596;5
1597;72
1598;74
1599;43
1601;14
1604;2
1605;1
1606;1
1607;1
1610;100
1612;3
1613;166
1614;1
1618;17
1622;12
1623;13
1624;83
1625;2
1629;768
1630;15
1632;2
1637;107
1639;316
1640;11
1641;3
1642;7
1643;1
1647;11
1650;2
1652;16
1654;9
1657;4
1661;3
1663;7
1664;7
1670;1
1673;1
1678;37
1680;24
1681;6
1684;5
1685;1
1686;4
1689;1
1693;1
1694;16
1696;16
1703;3
1707;1
1710;12
1711;1
1716;37
1717;13
1718;1
1724;1
1725;1
1730;279
1731;26
1732;11
1735;30
1736;417
1737;1
1741;1
1744;21
1747;2
1748;2
1749;1
1753;3
1754;1
1760;106
1762;5
1763;3
1764;9
1766;4
1767;3
1768;2
1771;1
1773;12
1774;6
1775;1
1778;10
1780;1
1781;1
1785;1
1787;1
1793;1
1801;1
1813;3
1817;13
1823;1
1827;36
1828;13
1829;6
1830;4
1833;8
1835;3
1839;2
1841;1
1843;2
1844;1
1847;1
1848;1
1849;2
1852;1
1854;4
1863;1
1865;4
1873;2
1883;49
1886;3
1898;2
1903;1
1905;1
1907;3
1911;1
1914;3
1927;4
1930;9
1940;1
1963;3
1988;3
1990;1
2000;2
2002;1
2004;1
2006;1
2014;2
2021;1
2023;5
2024;2
2030;3
2033;3
2034;8
2035;1
2045;3
2047;1
2049;21
2050;1
2051;2
2052;5
2053;3
2054;2
2055;2
2057;2
2070;2
2088;3
2092;1
2093;13
2095;7
2102;2
2112;1
2118;1
2132;2
2139;1
2143;2
2145;1
2146;10
2147;2
2148;4
2149;2
2150;1
2151;1
2157;40
2160;6
2162;2
2164;1
2172;31
2173;16
2177;3
2180;1
2182;1
2187;2
2188;1
2191;25
2192;4
2197;3
2202;3
2203;1
2205;2
2206;4
2207;14
2208;12
2209;46
2210;2
2214;3
2220;11
2222;63
2223;70
2224;2
2225;4
2235;1
2289;15
2290;8
2291;3
2292;7
2293;56
2296;4
2298;3
2314;2
2322;13
2330;1
2331;4
2335;1
2350;2
2352;2
2358;2
2369;2
2370;1
2371;9
2374;27
2375;51
2377;9
2378;64
2382;5
2420;1
2421;1
2422;2
2426;2
2698;14
2699;2
2701;1
2702;3
2717;33
2718;2
2724;1
2736;2
2737;17
2738;213
2739;21
2741;11
2742;34
2743;12
2745;68
2746;3
2747;21
2748;35
2749;2
2750;5
2751;291
2754;42
2756;31
2757;7
2759;7
2781;1
2836;1
2951;10
2952;1
3039;4
3042;1
3052;2
3066;1
3077;2
4751;1
4756;1
4762;2
4830;1
4842;2
4854;1
4874;2
4892;4
5027;1
5052;2
5116;1
5178;1
5455;1
5477;1
5689;2
5741;1
5758;27
5759;12
5786;1
5799;2
5820;2
5884;1
5888;1
5963;1
10239;129656
10288;6
10486;1
10487;1
10501;1
10508;1
10509;9
10524;7
10566;3
10594;1
10632;4
10663;3
10683;4
10699;4
10704;38
10760;1
10780;15
10794;1
10799;2
10803;140
10804;3
10814;1
10841;11323
10843;1
10844;1
10845;2
10847;4
10848;4
10849;41
10850;4
10851;1
10860;408
10863;12
10867;4
10869;2
10872;4
12333;1329
12348;6
12429;1354
12440;24
12916;396
12917;67
12968;6
13075;5
13076;32
13134;1
13160;2
13243;6
13264;1
13276;6
13289;1
13335;2
13687;17
13689;1
13690;19
13725;4
28025;22
28026;7
28031;25
28034;2
28037;31
28038;46
28051;154
28052;10
28056;6
28064;7
28066;32
28067;2
28068;18
28077;1
28080;1
28081;8
28090;450
28091;27
28092;9
28095;70
28099;3
28101;3
28104;5
28105;10
28109;16
28110;4
28111;119
28112;225
28113;138
28114;26
28115;3
28116;297
28117;72
28118;119
28119;15
28124;1
28125;251
28126;1
28127;49
28128;15
28129;28
28130;28
28131;40
28132;43
28134;7
28135;3
28136;5
28137;3
28139;5
28141;25
28151;5
28152;22
28159;5
28161;1
28171;1
28173;1
28181;1
28182;1
28183;2
28184;2
28187;2
28188;6
28189;10
28196;103
28197;2799
28198;7170
28200;59
28201;3
28202;1
28209;1
28210;3
28211;121
28214;6
28216;346
28220;2
28221;161
28222;4
28223;21
28227;2
28228;13
28229;1
28230;2
28231;12
28236;45
28251;44
28253;9
28256;6
28261;5
28446;33
28447;8
28449;1
28450;52
28453;106
28454;6
28890;10
28895;2
28898;5
28901;261
28903;4
28907;2
29290;18
29316;1
29322;1
29330;9
29331;1
29332;11
29341;10
29343;2
29345;31
29347;72
29348;2
29354;65
29355;18
29357;7
29358;8
29359;5
29360;26
29361;1
29362;92
29363;77
29364;13
29365;24
29367;50
29369;16
29370;178
29372;8
29373;1
29378;39
29384;1
29385;84
29388;2
29389;145
29394;27
29396;3
29397;1
29404;1
29408;2
29409;5
29419;4
29427;17
29428;1
29430;501
29432;6
29433;80
29435;6
29438;2
29442;3
29443;3
29448;4
29450;12
29465;51
29466;6
29483;10
