TaxID;output/DNA_220602_20-22hmix_centri_BIOMcombi_S11_kaiju.out
0;4373072
1;54984
2;8207
7;22
9;2
10;3
11;2
13;1
14;4
16;2
17;2
19;2
20;4
22;76
23;1
24;1
29;1
31;4
32;6
34;3
35;1
39;1
41;2
43;1
48;3
49;1
50;1
51;2
52;4
54;5
56;7
59;985
61;95
63;2
64;4
68;4
69;21
72;10
75;5
81;4
82;14
84;11
85;1
93;1
94;3
99;1
100;26
102;5
103;3
104;4
106;3
107;6
113;3
114;4
120;2
124;1
125;1
126;2
128;3
133;2
136;2
144;3
156;11
157;14
158;13
162;10
163;9
164;22
165;1
166;45
167;2
171;15
172;1
173;5
178;1
179;2
180;1
189;3
190;5
191;35
192;14
193;3
194;27
195;11
196;8
197;30
198;4
199;10
200;4
201;4
202;3
204;1
209;20
210;14
213;1
215;9
222;121
226;1
232;10
234;42
235;4
237;167
238;28
239;28
244;7
247;3
249;1
250;13
252;2
253;27
254;13
256;13
258;3
262;11
265;107
266;96
270;3
274;9
276;1
277;3
279;2
280;1
281;1
283;1184
285;181
286;1843
287;1045
292;31
293;31
294;108
296;10
297;13
298;1
300;90
301;173
303;562
305;82
306;110
316;409
317;44
321;7
323;5
329;43
337;22
338;94
339;54
343;18
346;11
347;6
349;14
350;119
352;31
353;111
354;8
356;235
357;31
358;129
359;48
373;40
374;98
375;23
376;2
379;72
380;31
381;14
382;129
384;98
391;41
396;2
399;39
403;8
404;1
405;11
407;36
408;15
409;3
410;9
414;3
415;13
416;3
418;4
421;1
425;3
428;1
429;3
433;27
434;21
436;2
437;1
438;4
441;7
442;4
444;1
445;6
446;20
451;3
459;4
460;1
466;14
468;143
469;13313
470;2409
471;43
472;150
475;73
476;27
477;20
478;28
479;7
480;79
481;84
482;435
483;5
484;4
485;32
486;96
487;69
488;6
489;1
490;5
492;1
493;1
494;12
495;4
496;7
497;97
498;8
502;7
504;4
506;69
507;19
511;105
517;24
518;43
519;59
521;24
522;1
523;4
525;4
529;103
531;7
535;64
536;65
537;4
538;21
539;90
542;5
543;792
544;65
545;26
546;86
547;52
548;23
549;15
550;241
551;2
552;32
553;9
554;11
555;1
556;1
561;23
562;1407
563;1
564;12
565;4
566;1
568;1
569;18
570;155
571;21
573;405
575;4
577;3
579;2
580;6
581;2
582;30
583;12
584;12
585;5
586;36
587;20
588;2
590;14
595;1
596;1
600;1
613;58
614;22
615;59
618;1
620;1
623;7
624;2
626;23
629;146
630;25
631;20
632;95
633;23
634;3
635;7
636;27
637;7
638;7
641;7
642;9544
644;1061
645;434
646;274
647;67
648;3550
649;10
650;215
651;329
652;6
654;3143
656;317
657;21
659;8
661;1
662;87
663;28
666;16
669;5
670;51
672;13
673;2
674;2
675;1
676;7
680;3
685;1
687;4
689;1
691;2
702;4
703;36
712;53
713;6
714;7
715;8
717;1
722;2
724;9
726;7
727;5
728;27
729;7
731;21
735;3
738;9
745;12
747;16
749;5
750;22
753;1
757;10
758;7
761;20
766;2
773;38
784;1
809;2
813;972
815;590
816;705
817;108
818;135
820;70
821;116
823;415
826;37
830;18
831;16
832;16
833;5
836;15
837;51
838;1079
839;32
840;1
841;20
844;3
847;21
848;8
849;2
850;23
851;11
852;17
853;3106
856;5
858;1
859;24
861;33
863;11
864;12
865;286
866;1
870;19
872;185
873;18
876;788
878;1
879;5
881;29
885;1
890;1
891;1
892;11
893;16
894;1110
895;10
897;2
898;75
899;9
901;42
904;9
905;1
906;42
907;96
911;3
912;3
913;4
914;24
915;24
916;23
917;24
919;8
920;11
921;5
923;2
924;44
929;1
930;55
935;1
948;3
955;1
958;3
959;29
960;4
963;16
964;1
965;11
966;154
970;27
971;200
972;1
976;244
982;6
983;5
985;2
986;3
988;1
989;12
990;92
995;3
996;14
998;5
999;2
1002;3
1003;1
1004;9
1008;2
1010;3
1014;26
1015;30
1016;39
1018;1
1019;1
1022;1
1027;5
1030;47
1031;12
1032;11
1033;2
1034;33
1035;11
1042;3
1044;1
1046;4
1049;2
1050;1
1053;1
1054;13
1057;4
1058;4
1060;4
1061;104
1063;132
1064;14
1066;20
1067;18
1068;3
1071;1
1074;16
1075;7
1076;12
1079;6
1082;2
1083;7
1085;8
1086;5
1087;1
1094;3
1095;5
1098;1
1101;1
1117;35
1122;3
1124;1
1125;3
1126;4
1150;13
1151;11
1153;2
1158;1
1160;3
1161;23
1162;2
1166;1
1176;1
1177;5
1178;1
1179;1
1182;1
1198;1
1219;1
1224;3550
1227;3
1229;2
1231;23
1233;17
1234;54
1236;2364
1238;1
1239;1054
1243;32
1244;5
1245;16
1246;11
1247;6
1249;3
1251;2
1252;6
1253;2
1254;7
1255;6
1257;3
1258;1
1260;3
1261;1
1263;156
1264;46
1265;25
1268;18
1269;7
1270;65
1273;3
1274;13
1279;222
1280;2855
1282;12
1283;27
1284;1
1286;2
1288;1
1290;20
1292;2
1293;1
1296;92
1298;27
1300;10
1301;547
1302;3
1303;5
1304;8
1305;1
1306;6
1307;1119
1308;17
1309;6
1310;1
1311;95
1313;497
1314;28
1318;2
1322;3
1323;18
1326;9
1328;16
1329;1
1333;2
1334;115
1335;11
1336;17
1337;24
1338;8
1340;10
1346;119
1348;19
1349;241
1350;151
1351;547
1352;41
1353;38
1354;5
1355;1
1357;103
1358;121
1359;9
1360;5
1363;18
1364;11
1366;96
1372;2
1373;8
1375;6
1376;12
1377;5
1378;1
1380;2
1381;5
1383;3
1385;128
1386;220
1390;4
1391;16
1392;3
1393;4
1396;137
1397;14
1398;6
1399;5
1401;1
1402;25
1404;49
1405;538
1406;25
1408;50
1421;24
1422;3
1423;44
1426;5
1428;51
1445;1
1450;10
1451;7
1452;40
1454;6
1455;7
1456;3
1458;1
1459;1
1462;1
1464;14
1465;48
1467;1
1471;11
1473;8
1476;1
1478;9
1479;1
1482;7
1485;292
1488;5
1490;34
1491;241
1492;27
1493;7
1494;5
1495;2
1496;45
1497;11
1498;2
1499;18
1501;13
1502;84
1503;2
1504;2
1505;27
1506;37
1509;19
1510;2
1511;41
1512;21
1513;13
1515;5
1516;4
1517;1
1519;14
1520;82
1521;11
1522;32
1525;2
1526;6
1527;39
1528;221
1529;18
1530;3
1531;23
1532;2
1533;3
1534;21
1535;11
1540;7
1541;8
1542;2
1544;2
1547;29
1548;1
1556;10
1557;2
1559;4
1561;4
1563;1
1564;38
1565;1
1569;5
1570;1
1573;5
1575;100
1578;11
1579;1
1580;7
1581;3
1582;11
1583;7
1584;109
1587;4
1588;1
1589;8
1590;51
1591;26
1596;2
1597;139
1598;37
1599;17
1601;4
1604;1
1606;2
1607;5
1610;182
1613;63
1615;1
1618;14
1622;6
1623;5
1624;44
1625;1
1626;3
1629;432
1630;5
1637;73
1639;158
1640;5
1642;2
1647;3
1648;1
1649;1
1652;4
1654;19
1657;7
1661;4
1663;8
1664;7
1667;1
1670;1
1676;2
1678;48
1679;1
1680;68
1681;3
1684;1
1685;1
1686;1
1689;3
1694;23
1696;41
1703;11
1707;4
1710;41
1716;39
1717;30
1718;6
1721;2
1724;2
1725;5
1727;4
1730;68
1731;11
1732;10
1735;10
1736;44
1737;1
1741;1
1743;1
1744;49
1747;2
1748;9
1749;4
1750;4
1753;10
1754;1
1760;228
1762;18
1763;13
1764;11
1766;15
1767;12
1768;10
1771;5
1773;78
1774;8
1778;2
1780;2
1781;2
1785;2
1786;1
1789;1
1795;3
1798;1
1813;9
1817;18
1822;6
1823;5
1827;72
1828;221
1829;9
1830;25
1833;21
1835;2
1836;1
1839;10
1841;1
1843;1
1844;3
1847;6
1848;3
1849;3
1850;1
1851;1
1854;8
1860;1
1863;1
1865;3
1866;1
1867;5
1869;1
1873;6
1874;1
1877;1
1881;1
1883;65
1885;1
1886;4
1888;1
1892;2
1903;4
1905;2
1907;1
1910;9
1912;5
1914;4
1926;2
1930;6
1946;1
1955;1
1988;1
1991;1
1992;14
1999;1
2001;2
2002;1
2005;1
2006;2
2014;2
2019;1
2021;1
2023;2
2024;1
2026;1
2030;1
2033;17
2034;8
2035;3
2045;21
2047;2
2049;43
2051;2
2052;3
2053;9
2057;1
2061;5
2062;4
2063;2
2070;11
2077;1
2088;1
2092;4
2093;5
2095;2
2098;1
2102;1
2104;1
2107;1
2120;1
2132;2
2134;1
2149;3
2157;35
2160;8
2162;3
2164;1
2172;5
2180;1
2188;1
2189;1
2191;27
2192;4
2197;4
2202;1
2203;4
2206;9
2207;21
2208;4
2209;28
2210;2
2213;1
2214;7
2220;12
2222;88
2223;102
2224;1
2225;2
2249;1
2289;29
2290;9
2291;7
2292;11
2293;79
2296;7
2298;3
2322;7
2330;1
2331;8
2335;1
2340;1
2350;4
2352;3
2358;1
2360;2
2369;1
2370;1
2371;19
2374;19
2375;10
2377;5
2378;42
2420;1
2421;4
2426;3
2698;13
2701;1
2702;3
2717;3
2718;5
2734;1
2736;1
2737;5
2738;56
2739;10
2741;7
2742;37
2743;21
2745;71
2746;6
2747;4
2748;10
2750;3
2751;182
2752;1
2754;41
2756;6
2757;1
2759;6
2781;2
2951;4
2952;3
3042;1
3066;1
3068;6
4756;1
4762;5
4781;14
4783;4
4792;32
4815;1
4842;1
4854;1
4930;1
4953;1
5052;2
5207;1
5408;1
5529;1
5579;1
5693;3
5741;4
5758;119
5759;64
5855;1
5932;1
10239;39549
10288;1
10501;2
10508;2
10509;5
10524;10
10579;1
10608;1
10663;9
10683;1
10699;6
10704;12
10760;3
10778;1
10780;1296
10803;557
10804;1
10814;3
10841;6025
10843;8
10844;3
10845;2
10847;29
10848;3
10849;45
10850;3
10851;9
10855;2
10860;1120
10863;12
10867;10
10869;4
10872;16
12333;314
12348;3
12429;759
12440;32
12618;2
12916;2362
12917;354
12960;1
13075;2
13076;27
13134;6
13160;10
13243;17
13276;2
13335;1
13656;2
13687;61
13688;1
13689;11
13690;91
13725;8
28000;1
28005;1
28025;2
28026;15
28031;12
28033;3
28034;2
28037;26
28038;19
28050;1
28051;130
28056;4
28064;1
28066;91
28067;1
28068;8
28077;1
28080;1
28087;1
28090;525
28091;35
28092;14
28094;2
28095;106
28099;3
28100;1
28101;3
28104;1
28105;18
28107;1
28108;2
28109;8
28110;1
28111;70
28112;41
28113;99
28114;3
28115;1
28116;167
28117;28
28118;28
28119;4
28122;1
28124;2
28125;97
28127;31
28128;3
28129;10
28130;16
28131;24
28132;15
28133;1
28134;3
28135;3
28139;2
28141;27
28150;1
28151;7
28152;29
28156;6
28159;2
28161;1
28171;5
28173;5
28183;1
28184;6
28187;2
28188;1
28189;2
28194;2
28196;27
28197;373
28198;1881
28200;7
28209;2
28210;1
28211;226
28213;2
28214;15
28216;716
28219;2
28220;5
28221;202
28222;9
28223;23
28227;1
28228;3
28229;1
28230;1
28231;12
28236;16
28240;1
28251;19
28253;10
28256;4
28258;8
28261;1
28320;2
28446;11
28447;4
28449;1
28450;89
28453;37
28454;6
28885;2
28890;10
28895;2
28901;203
28907;2
28983;1
29000;1
29252;1
29290;2
29316;1
29324;1
29330;6
29332;3
29341;3
29345;5
29347;11
29354;12
29355;12
29358;1
29359;1
29360;5
29362;29
29363;24
29364;8
29365;4
29367;7
29369;10
29370;30
29372;2
29373;2
29378;17
29382;2
29385;46
29388;3
29389;48
29394;10
29404;2
29408;9
29409;6
29419;1
29427;15
29428;2
29429;1
29430;1314
29432;10
29433;11
29435;24
29438;19
29442;5
29443;8
29447;5
29448;37
29450;27
29465;15
29466;1
29483;7
29484;15
29485;3
