TaxID;output/DNA_220616_22-24hmix_cer_BIOMcombi_S20_kaiju.out
0;5651419
1;72475
2;6877
7;27
9;20
10;1
14;18
16;4
19;1
22;119
24;1
29;2
31;1
32;2
34;1
35;1
48;1
50;1
52;1
54;2
56;3
59;52
61;8
64;2
68;7
69;3
72;12
75;2
81;1
82;3
84;1
99;2
100;19
102;5
103;9
104;12
105;3
106;8
107;19
119;4
122;3
128;1
133;1
136;1
138;1
144;5
148;1
150;2
156;12
157;21
158;26
159;3
162;20
163;24
164;17
165;4
166;30
167;11
171;26
172;6
173;1
189;1
190;4
191;19
192;5
193;1
194;99
195;65
196;69
197;43
198;11
199;42
200;25
201;10
202;10
204;7
205;2
206;1
209;70
210;90
214;1
215;11
216;14
217;6
222;43
226;4
232;1
234;19
235;1
237;543
238;64
239;53
244;22
245;5
247;13
250;19
251;1
253;108
254;34
256;90
258;15
262;16
265;32
266;50
270;2
274;30
276;2
277;2
280;1
281;1
283;139
285;39
286;633
287;293
292;10
293;6
294;57
296;15
297;7
298;3
300;28
301;42
303;62
305;39
306;3
316;159
317;19
329;8
337;6
338;22
339;3
343;2
346;2
352;12
353;25
354;8
356;107
357;11
358;48
359;21
373;15
374;17
375;16
376;2
379;33
380;14
381;5
382;85
384;32
387;1
391;6
399;8
403;4
407;12
408;2
409;7
410;1
413;1
414;8
415;2
416;4
418;2
425;4
429;1
433;17
434;18
435;1
436;1
437;2
438;3
441;2
442;3
445;3
446;5
449;1
451;1
452;1
459;1
466;17
468;269
469;18829
470;2285
471;61
472;242
475;178
476;39
477;20
478;236
479;4
480;215
481;142
482;338
483;16
485;12
486;74
487;125
489;1
490;5
492;12
494;13
495;2
496;2
497;165
502;3
504;6
506;57
507;5
511;73
517;5
518;8
519;5
521;6
522;5
525;1
529;86
531;7
535;32
536;16
538;9
539;42
543;418
544;23
545;17
546;72
547;44
548;13
549;11
550;13
551;1
552;8
553;11
554;4
555;3
556;3
561;19
562;1112
564;26
565;5
566;1
568;1
569;7
570;109
571;19
573;363
575;2
577;5
579;1
580;5
581;1
582;22
583;20
584;17
585;3
586;37
587;14
588;7
590;11
595;1
600;1
613;39
614;11
615;20
620;1
623;2
624;3
626;14
628;2
629;91
630;16
631;7
632;11
633;10
635;3
636;25
637;2
638;6
641;15
642;1014
644;101
645;54
646;50
647;1
648;172
649;2
650;13
651;43
652;1
654;269
656;30
657;5
659;5
662;139
663;65
666;28
669;7
670;34
672;8
673;2
674;1
675;1
676;4
685;6
689;1
691;2
702;3
703;9
712;157
713;44
714;8
715;7
716;1
718;1
722;2
724;19
726;3
727;12
728;41
729;7
730;5
731;22
732;1
733;1
734;1
735;1
738;30
745;25
747;24
750;26
753;2
756;1
757;28
758;15
761;16
773;6
780;1
809;21
810;1
813;166
815;908
816;1564
817;324
818;225
820;135
821;273
823;715
824;2
826;1439
827;7
830;84
831;43
832;17
833;2
836;33
837;241
838;948
839;149
840;3
841;39
844;15
847;12
848;103
849;18
850;75
851;21
852;58
853;81
854;4
856;20
858;5
859;91
860;3
861;91
863;6
864;14
865;514
866;1
868;2
870;90
872;66
873;12
876;177
878;1
879;2
881;4
890;1
891;2
892;9
893;5
894;29
895;18
897;1
898;7
901;13
904;14
906;28
907;61
912;6
913;3
914;10
915;1
916;2
917;27
920;5
921;2
923;1
924;4
929;1
930;22
935;1
940;1
942;4
943;1
948;1
953;1
958;4
959;44
960;8
963;4
964;1
965;22
966;217
