TaxID;output/DNA_220602_20-22hmix_cer_BIOMcombi_S13_kaiju.out
0;11213538
1;156089
2;11462
7;30
9;22
10;5
14;12
16;1
19;4
21;2
22;132
24;3
25;2
29;1
31;9
32;9
34;1
41;1
48;6
51;2
53;1
56;9
59;184
61;25
63;1
64;2
68;7
69;12
72;25
75;5
82;6
84;2
86;1
93;1
100;35
102;24
103;14
104;27
105;11
106;26
107;46
113;3
114;3
119;5
122;1
124;1
126;1
128;2
133;5
136;9
137;3
138;1
144;3
148;1
150;5
154;1
156;19
157;64
158;67
159;2
162;58
163;52
164;73
165;7
166;55
167;24
171;79
172;6
173;12
178;2
179;1
180;4
183;1
189;3
190;3
191;53
192;15
194;142
195;60
196;176
197;109
198;14
199;110
200;48
201;37
202;8
204;6
206;10
209;125
210;89
213;1
214;2
215;16
216;5
222;74
226;13
232;6
234;40
235;1
237;905
238;101
239;218
244;24
245;1
247;25
250;61
251;1
253;162
254;70
256;126
258;28
262;40
263;2
265;36
266;145
270;8
274;72
276;2
277;4
279;1
280;1
283;329
285;65
286;1389
287;705
292;17
293;10
294;146
296;15
297;9
298;3
300;67
301;69
303;670
305;59
306;34
316;322
317;41
321;6
329;35
337;10
338;30
339;14
340;1
343;8
346;7
347;4
349;4
350;16
352;15
353;38
354;17
356;185
357;15
358;100
359;33
373;40
374;73
375;30
376;3
379;69
380;29
381;8
382;142
384;60
387;1
391;21
396;4
398;2
399;16
403;5
405;3
407;26
408;8
409;8
410;1
413;2
414;21
415;3
416;3
418;2
421;2
425;7
429;4
433;16
434;38
436;1
438;4
441;2
442;17
444;3
445;10
446;11
449;1
451;15
452;11
454;2
458;1
459;2
466;21
468;365
469;23494
470;4190
471;72
472;437
475;231
476;44
477;29
478;404
479;2
480;309
481;162
482;216
483;8
484;1
485;12
486;27
487;90
488;2
489;1
490;4
494;13
495;4
496;1
497;261
498;12
502;4
504;10
505;1
506;47
507;15
511;87
517;15
518;12
519;12
521;27
522;1
523;2
525;1
529;186
531;21
533;1
535;90
536;29
537;1
538;8
539;23
542;1
543;864
544;53
545;30
546;148
547;78
548;27
549;23
550;76
551;1
552;16
553;21
554;25
555;9
556;1
561;63
562;1946
563;1
564;32
565;4
568;5
