TaxID;output/DNA_220607_22-24hmix_cer_BIOMcombi_S16_kaiju.out
0;4560168
1;62126
2;7484
7;43
9;20
10;6
11;2
13;1
14;2
16;1
19;4
21;5
22;120
24;4
25;3
31;8
32;4
34;1
39;1
40;2
41;2
48;2
50;1
51;4
52;1
53;1
54;1
56;5
59;60
61;30
63;3
64;1
68;17
69;5
72;13
75;3
81;3
82;6
84;2
94;1
100;38
102;2
103;6
104;6
105;2
106;5
107;11
113;3
114;6
120;2
124;2
126;2
133;2
136;7
144;4
150;2
154;1
156;26
157;9
158;36
162;6
163;15
164;14
165;2
166;30
167;5
171;34
173;5
178;2
180;1
187;1
189;1
190;2
191;27
192;9
194;43
195;36
196;36
197;47
198;7
199;25
200;15
201;11
202;5
204;1
209;27
210;24
214;1
215;2
216;1
217;1
222;96
226;5
232;13
234;81
235;5
237;409
238;50
239;69
244;16
245;4
246;1
247;4
250;21
253;56
254;29
256;41
258;8
262;34
263;1
265;65
266;75
270;3
274;13
276;1
277;3
279;3
283;322
285;69
286;1055
287;366
292;24
293;11
294;140
296;8
297;3
298;1
300;34
301;91
303;93
305;37
306;21
316;261
317;25
321;1
323;1
329;36
337;18
338;40
339;15
343;9
346;6
347;2
349;3
350;18
352;18
353;36
354;9
356;182
357;19
358;79
359;34
373;27
374;64
375;32
376;1
379;43
380;11
381;10
382;156
384;91
387;1
391;28
396;2
399;28
403;4
404;1
405;3
407;27
408;7
409;10
410;4
413;1
414;7
415;7
416;3
418;3
421;4
425;3
429;2
433;27
434;38
436;2
437;1
438;6
441;2
442;6
444;1
445;7
446;71
451;3
458;1
459;2
466;34
468;397
469;19301
470;2286
471;76
472;238
475;210
476;46
477;19
478;245
479;4
480;229
481;140
482;264
483;17
485;8
486;48
487;102
489;1
490;1
492;5
494;19
495;1
497;197
498;10
502;2
504;8
506;72
507;12
511;60
517;14
518;31
519;25
521;16
523;1
525;4
529;109
531;3
532;1
535;44
536;11
537;2
538;15
539;42
542;2
543;895
544;59
545;29
546;129
547;151
548;32
549;13
550;30
551;2
552;25
553;22
554;15
555;12
556;1
561;29
562;1594
564;26
565;7
568;3
569;15
570;171
571;11
573;366
575;5
577;4
579;9
580;6
581;4
582;25
583;25
584;21
585;5
586;40
587;15
588;7
590;6
596;1
600;1
611;1
613;48
614;17
615;55
624;11
626;23
628;3
629;238
630;23
631;30
632;8
633;18
634;4
635;5
636;33
637;6
638;5
641;12
642;3360
644;342
645;186
646;55
647;7
648;555
649;2
650;43
651;179
652;2
654;675
656;36
657;12
659;6
662;103
663;104
666;37
668;1
669;8
670;49
672;12
674;1
675;2
676;6
687;6
689;4
691;5
703;20
712;75
713;4
714;7
715;5
720;1
722;5
723;1
724;8
726;6
727;12
728;108
729;13
730;1
731;25
732;1
734;1
735;2
738;19
739;1
745;13
747;37
749;2
750;37
753;6
757;15
758;13
761;25
766;4
773;32
809;12
810;1
813;157
815;1108
816;1402
817;172
818;254
820;176
821;225
823;1055
826;339
827;1
830;28
831;29
832;19
836;19
837;75
838;1677
839;53
841;10
844;5
847;20
848;47
849;7
850;40
851;12
852;29
853;137
856;12
858;6
859;47
861;121
863;5
864;20
865;446
866;3
867;1
870;75
872;110
873;5
876;320
879;3
881;8
885;1
892;8
893;3
894;67
895;9
897;1
898;18
899;2
901;28
904;7
905;2
906;33
907;75
911;1
912;9
913;6
914;18
915;3
916;9
917;25
919;1
920;6
921;1
923;1
924;21
927;1
929;1
930;7
935;3
945;1
948;1
958;4
959;31
960;6
963;14
964;1
965;19
966;637
970;33
971;195
972;1
976;384
982;7
983;14
985;4
986;2
989;14
990;68
991;1
995;3
996;50
997;2
998;7
999;3
1003;5
1004;5
1006;1
1008;1
1010;6
1014;19
1015;54
1016;29
1018;1
1019;1
1021;2
1022;2
1027;1
1030;52
1031;26
1032;2
1034;11
1035;11
1041;2
1042;4
1046;3
1048;1
1049;2
1050;1
1052;2
1054;4
1057;4
1058;1
1060;2
1061;16
1063;81
1064;5
1066;4
1067;11
1068;3
1073;2
1074;18
1075;2
1076;16
1079;1
1082;1
1083;9
1084;3
1085;1
1086;3
1088;5
1094;3
1095;2
1097;1
1101;1
1117;35
1118;3
1124;1
1125;12
1126;5
1150;32
1151;18
1152;1
1153;3
1158;1
1160;12
1161;21
1162;3
1177;2
1182;3
1190;1
1202;2
1203;1
1218;2
1219;10
1223;2
1224;2695
1227;8
1229;4
1231;24
1233;7
1234;33
1236;1540
1238;1
1239;1367
1243;27
1244;14
1245;28
1246;21
1247;6
1249;5
1251;4
1252;5
1253;5
1254;3
1255;4
1257;7
1258;1
1260;12
1261;5
1263;240
1264;67
1265;33
1266;1
1267;3
1268;13
1269;6
1270;29
1273;7
1274;3
1276;1
1279;337
1280;11614
1282;21
1283;66
1284;2
1286;4
1288;3
1290;15
1292;4
1293;2
1294;5
1296;92
1298;11
1300;46
1301;1622
1302;6
1303;8
1304;7
1305;8
1306;8
1307;3998
1308;34
1309;9
1311;434
1313;890
1314;109
1318;3
1322;8
1323;16
1326;48
1328;45
1329;9
1334;485
1335;8
1336;41
1337;62
1338;13
1340;17
1343;1
1346;309
1348;77
1349;648
1350;374
1351;2563
1352;94
1353;88
1354;4
1356;3
1357;194
1358;194
1359;31
1360;1
1363;29
1364;32
1366;161
1372;3
1373;10
1375;14
1376;16
1377;6
1378;8
1380;3
1381;3
1383;1
1385;174
1386;379
1390;12
1391;12
1392;5
1393;11
1396;170
1397;35
1398;11
1399;21
1401;2
1402;59
1404;79
1405;1940
1406;20
1408;72
1411;1
1413;1
1421;43
1422;7
1423;64
1426;5
1428;51
1449;1
1450;7
1451;10
1452;35
1454;3
1455;17
1456;1
1458;1
1459;4
1461;4
1462;1
1464;10
1465;41
1467;8
1471;16
1472;7
1473;11
1474;2
1476;5
1478;13
1482;12
1484;2
1485;452
1488;8
1490;73
1491;425
1492;49
1493;6
1494;31
1495;3
1496;76
1497;19
1498;2
1499;11
1501;23
1502;184
1503;8
1504;2
1505;44
1506;21
1509;36
1510;5
1511;121
1512;49
1513;18
1515;6
1516;3
1517;6
1519;56
1520;157
1521;15
1522;76
1526;1
1527;69
1528;255
1529;28
1530;3
1531;72
1532;5
1533;4
1534;28
1535;9
1537;5
1540;20
1541;17
1542;3
1544;2
1547;27
1548;2
1551;3
1553;2
1556;21
1557;7
1559;15
1561;5
1563;1
1564;17
1565;2
1569;6
1575;41
1578;29
1579;3
1580;14
1581;6
1582;3
1583;17
1584;210
1587;13
1588;1
1589;3
1590;41
1591;7
1596;4
1597;70
1598;90
1599;21
1601;8
1606;3
1607;3
1610;265
1612;1
1613;77
1614;1
1615;1
1618;8
1622;5
1623;11
1624;36
1626;1
1629;1872
1630;6
1631;1
1632;2
1633;1
1637;143
1639;638
1640;8
1641;3
1642;1
1646;1
1647;6
1649;1
1650;3
1652;14
1654;22
1657;3
1661;5
1663;13
1664;2
1670;1
1673;1
1677;1
1678;29
1679;1
1680;16
1681;1
1682;1
1684;1
1685;1
1689;1
1690;1
1692;1
1693;2
1694;9
1696;9
1703;7
1707;2
1708;1
1710;13
1716;37
1717;24
1718;9
