TaxID;output/DNA_220719_22-24hmix_cer_BIOMcombi_S32_kaiju.out
0;2505039
1;30356
2;3003
7;7
9;2
10;2
14;3
16;1
20;1
21;1
22;30
31;4
32;1
34;2
48;4
56;2
59;24
61;6
69;2
72;6
75;2
85;1
100;1
102;2
103;8
104;7
105;2
106;3
107;6
114;1
125;1
136;2
137;1
138;1
144;3
150;1
154;1
156;5
157;6
158;16
162;5
163;12
164;2
165;1
166;6
167;6
171;11
172;1
173;2
178;3
190;3
191;8
192;4
193;1
194;31
195;13
196;37
197;44
198;3
199;24
200;15
201;8
202;5
204;2
206;2
209;38
210;15
215;4
222;13
226;1
232;1
234;18
235;1
237;186
238;16
239;52
244;3
245;1
247;3
250;2
253;22
254;33
256;18
258;6
262;6
263;1
265;8
266;10
270;1
271;1
274;9
276;2
283;74
285;15
286;178
287;160
292;1
293;3
294;28
296;1
297;2
300;11
301;11
303;88
305;11
306;7
316;70
317;7
323;1
329;4
338;3
339;4
349;2
350;8
352;3
353;6
354;2
356;43
357;4
358;24
359;8
373;2
374;9
375;7
376;1
379;11
380;7
381;1
382;29
384;11
391;2
399;3
403;3
407;3
408;1
409;1
414;3
416;3
421;2
429;1
433;3
434;7
437;1
442;1
445;2
446;5
449;1
452;2
459;1
463;1
466;9
468;70
469;4090
470;627
471;18
472;90
475;61
476;21
477;6
478;332
479;4
480;124
481;48
482;106
483;4
484;1
485;2
486;11
487;29
492;2
494;7
497;37
502;2
504;1
506;17
507;1
511;32
517;4
518;3
519;4
521;1
523;1
529;26
535;17
536;11
538;6
539;8
543;173
544;9
545;6
546;26
547;30
548;3
549;1
550;12
552;1
553;2
554;4
555;1
556;1
561;10
562;425
564;4
566;1
568;1
569;3
570;31
571;4
573;223
577;4
579;1
580;1
581;1
582;2
583;2
584;6
585;1
586;16
587;4
588;1
590;3
595;2
613;12
614;2
615;20
624;4
626;3
628;1
629;42
630;1
631;4
632;3
635;1
636;9
641;6
642;614
644;90
645;16
646;58
647;3
648;126
649;1
650;8
651;17
652;2
654;171
656;9
657;3
659;3
662;41
663;8
666;9
668;2
669;2
670;12
672;2
680;1
685;1
687;2
688;1
691;3
702;2
703;5
712;34
713;2
714;2
715;2
720;1
724;2
726;6
727;4
728;32
729;5
730;3
731;8
733;2
735;2
738;5
745;3
747;12
750;15
757;7
758;8
761;7
773;5
809;7
813;220
815;437
816;482
817;82
818;85
820;50
821;90
823;193
824;1
826;1751
830;12
831;29
832;12
833;5
836;7
837;44
838;667
839;19
840;1
841;10
844;8
847;4
848;83
849;11
850;36
851;15
852;43
853;206
854;3
856;14
858;4
859;28
860;2
861;75
863;3
864;9
865;160
870;36
872;13
873;3
876;60
878;1
881;2
885;2
890;1
891;3
892;2
894;29
895;5
899;1
901;5
904;8
906;8
907;30
913;1
915;2
916;1
917;3
920;1
924;3
930;8
933;1
953;1
959;28
960;26
963;8
964;3
965;6
966;87
970;9
971;42
972;5
976;274
978;1
982;2
983;5
985;2
989;7
990;21
995;1
996;23
997;1
998;2
999;1
1003;1
1004;3
1008;1
1010;5
1014;9
1015;22
1016;13
1018;7
1021;2
1022;1
1027;4
1028;1
1030;10
1031;3
1032;4
1034;1
1035;1
1046;4
1052;3
1054;2
1060;2
1061;5
1063;13
1064;1
1066;2
1067;1
1073;3
1076;3
1083;1
1088;3
1095;1
1096;1
1117;37
1118;1
1125;2
