TaxID;output/DNA_220629_22-24hmix_cer_BIOMminiprep_S24_kaiju.out
0;4798262
1;57434
2;6309
7;12
9;10
10;3
13;1
14;24
16;1
19;3
21;5
22;149
24;3
29;2
31;7
32;5
34;2
40;1
42;1
48;2
51;4
53;1
56;4
59;27
61;14
63;3
64;2
68;3
69;4
72;12
75;2
81;3
82;4
84;1
99;1
100;10
102;15
103;10
104;9
105;2
106;6
107;18
113;1
114;3
119;7
124;1
128;1
133;1
136;3
144;2
150;1
154;3
156;37
157;23
158;39
159;4
162;10
163;16
164;23
166;29
167;14
171;30
172;2
173;4
179;1
180;5
183;4
189;1
190;17
191;23
192;9
193;1
194;68
195;48
196;114
197;98
198;7
199;45
200;28
201;7
202;13
204;8
205;1
206;3
209;28
210;17
213;1
215;3
217;1
222;62
226;3
232;4
234;12
237;591
238;77
239;79
244;11
245;1
247;8
250;18
251;1
253;126
254;51
256;71
258;13
259;1
262;7
265;39
266;69
270;1
274;23
276;1
277;3
279;2
283;178
285;46
286;858
287;345
292;15
293;11
294;61
296;8
297;7
298;5
300;57
301;83
303;76
305;39
306;9
316;175
317;17
329;24
337;10
338;32
339;7
343;5
346;5
347;2
349;1
350;13
352;14
353;25
354;16
356;82
357;14
358;65
359;34
373;22
374;49
375;9
376;1
379;49
380;20
381;2
382;87
384;67
391;16
396;1
399;16
403;5
405;4
407;18
408;7
409;13
410;7
413;1
414;6
415;2
416;12
421;3
425;1
428;1
429;3
433;26
434;26
436;2
438;9
441;7
442;11
445;12
446;12
451;13
452;4
459;1
466;41
468;330
469;19854
470;1906
471;64
472;227
475;164
476;52
477;23
478;248
479;2
480;194
481;50
482;117
483;5
485;2
486;9
487;31
488;1
489;1
492;2
494;5
495;5
497;96
498;1
502;1
504;2
505;2
506;33
507;15
511;105
517;6
518;15
519;36
521;18
522;5
529;122
531;2
533;1
535;70
536;19
537;5
538;8
539;20
542;1
543;803
544;73
545;23
546;98
547;67
548;21
549;12
550;32
551;1
552;16
553;5
554;10
555;2
556;2
561;25
562;1111
563;1
564;28
565;3
566;1
568;3
569;8
570;190
571;25
573;317
575;3
577;4
579;2
580;2
581;4
582;29
583;19
584;34
585;10
586;69
587;14
588;8
590;8
600;2
611;1
613;63
614;9
615;57
618;1
623;1
624;13
626;13
628;4
629;134
630;20
631;18
632;1
633;12
634;2
635;8
636;27
637;4
638;9
641;13
642;2034
644;155
645;103
646;53
648;376
649;10
650;32
651;123
652;4
654;359
656;14
657;11
659;6
662;91
663;79
666;18
668;4
669;11
670;53
672;11
673;2
674;2
675;1
676;4
685;2
687;3
688;1
689;4
691;3
702;4
703;20
712;104
713;3
714;16
715;8
720;1
722;5
724;16
726;2
727;7
728;34
729;12
730;5
731;18
732;2
733;4
738;26
745;10
747;29
749;2
750;30
753;5
756;3
757;23
758;7
761;48
766;1
773;21
779;1
809;11
810;2
813;150
815;702
816;1532
817;329
818;239
820;108
821;219
823;810
824;1
826;975
827;2
830;36
831;24
832;12
833;1
836;20
837;167
838;1029
839;101
840;5
841;34
844;14
847;21
848;67
849;10
850;79
851;16
852;49
853;137
854;1
856;16
859;76
861;79
862;1
863;9
864;32
865;723
866;1
870;32
872;193
873;13
876;759
878;2
879;2
880;1
881;12
890;4
891;7
892;5
893;9
894;74
895;16
897;1
898;41
899;5
901;39
904;6
905;5
906;56
907;140
911;3
912;2
914;10
916;5
917;38
919;1
920;5
923;2
924;22
930;15
934;1
935;3
940;1
948;2
958;2
959;51
960;4
963;11
964;3
965;34
966;337
970;34
971;160
972;1
976;580
979;2
982;4
983;18
985;5
986;10
989;53
990;91
991;1
995;1
996;126
998;9
999;3
1002;2
1003;5
1004;13
1008;4
1010;10
1014;23
1015;81
1016;41
1017;1
1018;3
1019;2
1021;1
1022;1
1026;1
1027;9
1030;22
1031;10
1032;3
1034;9
1035;5
1041;1
1042;4
1046;11
1048;1
1049;2
1052;3
1053;1
1054;8
1057;3
1058;1
1061;8
1063;47
1064;5
1066;7
1067;8
1068;2
1069;1
1073;3
1074;16
1075;1
1076;9
1079;5
1082;1
1085;1
1086;3
1091;1
1094;5
1095;6
1117;38
1118;1
1122;2
1124;2
1125;12
1126;12
1150;26
1151;4
1160;6
1161;23
1162;2
1163;2
1177;6
1178;2
1179;1
1186;1
1190;1
1218;8
1219;4
1223;1
1224;3104
1227;2
1229;1
1231;10
1233;8
1234;22
1236;1388
1238;1
1239;1511
1243;32
1244;2
1245;21
1246;21
1247;12
1249;12
1251;3
1252;2
1253;2
1254;1
1255;4
1257;2
1258;3
1260;30
1261;10
1263;199
1264;138
1265;99
1267;5
1268;8
1269;1
1270;6
1273;3
1274;3
1279;259
1280;3177
1281;1
1282;21
1283;73
1284;2
1286;5
1288;9
1290;36
1292;4
1293;1
1294;2
1296;75
1298;9
1300;46
1301;3651
1302;10
1303;14
1304;16
1305;8
1306;7
1307;9125
1308;113
1309;18
1310;2
1311;918
1313;463
1314;192
1318;11
1322;22
1323;39
1326;113
1328;86
1329;32
1334;1368
1335;32
1336;105
1337;145
1338;15
1340;56
1346;822
1348;258
1349;1966
1350;372
1351;371
1352;125
1353;100
1354;7
1355;1
1356;4
1357;291
1358;258
1359;32
1360;15
1363;30
1364;44
1365;1
1366;218
1372;3
1373;8
1375;21
1376;7
1377;20
1378;6
1379;3
1380;3
1381;9
1383;4
1385;234
1386;404
1390;7
1391;18
1392;5
1393;17
1396;190
1397;39
1398;14
1399;21
1401;2
1402;63
1404;57
1405;286
1406;32
1407;1
1408;61
1413;1
1418;1
1421;53
1422;16
1423;57
1426;11
1428;79
1449;8
1450;19
1451;8
1452;28
1454;15
1455;18
1456;1
1459;1
1461;1
1462;2
1464;37
1465;59
1467;8
1471;15
1472;10
1473;5
1476;2
1478;9
1482;16
1485;796
1488;12
1490;79
1491;614
1492;91
1493;8
1494;33
1495;3
1496;112
1497;28
1498;7
1499;23
1501;38
1502;287
1503;12
1504;9
1505;52
1506;27
1509;70
1510;11
1511;551
1512;104
1513;29
1515;9
1516;4
1517;8
1519;64
1520;400
1521;20
1522;90
1525;5
1527;156
1528;249
1529;64
1530;15
1531;77
1532;7
1533;3
1534;103
1535;13
1537;5
1538;6
1540;12
1541;32
1542;5
1544;3
1547;51
1548;3
1551;6
1553;4
1556;24
1557;16
1559;22
1561;18
1564;36
1565;2
1569;5
1573;1
1575;36
1578;24
1579;1
1580;15
1581;9
1582;2
1583;25
1584;158
1587;9
1589;1
1590;64
1591;20
1596;3
1597;54
1598;93
1599;22
1600;1
1601;19
1604;3
1605;3
1606;2
1607;5
1610;146
1613;94
1614;2
1618;15
1620;2
1622;8
1623;15
1624;66
1625;2
1629;194
1630;7
1631;2
1632;3
1633;4
1637;113
1638;1
1639;262
1640;8
1641;2
1642;11
1643;3
1646;1
1647;9
1648;1
1650;2
1652;2
1654;6
1657;4
