TaxID;output/DNA_220602_22-24hmix_centri_BIOMcombi_S12_kaiju.out
0;3710363
1;49334
2;7214
7;15
9;7
10;2
14;1
16;1
17;1
19;1
20;1
21;2
22;69
24;1
31;3
32;3
34;1
41;1
47;2
48;1
50;2
51;1
52;1
54;1
55;1
56;6
59;1249
61;141
63;1
64;1
68;3
69;6
72;11
75;4
82;1
100;32
102;7
103;6
104;1
105;3
106;2
107;1
113;2
114;4
124;1
125;1
137;1
138;1
148;1
154;4
156;10
157;14
158;14
162;8
163;9
164;11
165;1
166;49
167;5
171;18
172;1
173;3
180;1
183;3
189;1
190;3
191;18
192;14
193;1
194;24
195;9
196;21
197;26
198;4
199;12
200;6
201;2
202;3
204;3
206;1
209;15
210;10
213;3
222;68
226;5
232;5
234;26
235;2
237;137
238;32
239;23
244;9
245;1
247;5
250;10
253;28
254;14
256;13
258;4
259;2
262;12
263;1
265;34
266;40
270;2
274;15
280;1
283;1170
285;155
286;1512
287;889
292;13
293;21
294;79
296;15
297;10
298;3
300;66
301;126
303;564
305;39
306;70
316;380
317;27
321;9
329;32
337;8
338;56
339;63
343;11
346;12
347;5
349;6
350;40
352;17
353;183
354;6
356;119
357;30
358;90
359;27
373;26
374;53
375;27
376;3
379;41
380;13
381;5
382;89
384;71
387;1
391;13
394;1
396;2
398;1
399;11
403;2
404;2
405;3
406;1
407;15
408;9
409;6
410;4
414;2
415;6
416;3
418;3
421;3
425;5
429;2
433;17
434;19
438;4
441;2
442;6
444;2
445;2
446;12
451;2
453;2
466;4
468;123
469;14568
470;2552
471;42
472;168
475;87
476;16
477;25
478;20
479;6
480;71
481;132
482;1010
483;5
484;3
485;103
486;213
487;77
488;9
490;6
492;1
494;6
495;2
496;17
497;88
498;7
502;12
504;13
506;39
507;10
511;56
517;9
518;14
519;18
520;1
521;13
522;1
525;3
529;110
531;5
533;2
535;35
536;61
537;2
538;25
539;101
543;775
544;55
545;14
546;82
547;53
548;27
549;18
550;290
552;20
553;6
554;11
555;1
556;3
561;27
562;1071
564;8
565;3
566;4
569;7
570;98
571;13
573;341
575;2
577;3
580;5
581;5
582;19
583;10
584;11
585;2
586;19
587;15
588;5
590;7
613;47
614;13
615;37
623;9
624;2
626;19
628;2
629;225
630;26
631;22
632;85
633;10
635;9
636;22
637;7
638;4
641;3
642;8635
644;1066
645;423
646;368
647;101
648;3020
649;2
650;246
651;226
654;3629
656;332
657;18
659;5
662;86
663;19
666;30
668;4
669;3
670;33
672;11
673;3
675;2
676;6
687;2
689;3
691;1
702;3
703;12
712;47
713;2
714;4
715;11
717;1
720;3
722;3
724;9
726;2
727;3
728;22
729;8
730;3
731;9
733;1
734;1
735;1
738;16
745;8
747;14
750;17
755;1
756;2
757;7
758;7
761;14
768;1
773;21
780;1
809;1
810;1
813;956
815;529
816;748
817;105
818;148
820;82
821;111
823;451
826;94
830;16
831;20
832;15
836;15
837;62
838;700
839;26
841;11
844;4
847;16
848;14
849;3
850;15
851;8
852;17
853;992
859;31
861;38
863;5
864;13
865;293
870;21
872;129
873;11
876;479
878;3
879;4
881;3
890;1
891;5
892;7
893;7
894;1099
895;13
897;4
898;44
901;29
904;7
905;3
906;27
907;94
911;3
912;5
913;1
914;17
915;39
916;25
917;18
919;10
920;1
921;5
924;24
930;15
933;2
935;1
953;1
958;6
959;40
960;18
963;7
964;2
965;3
966;177
970;13
971;116
976;231
982;8
983;9
986;1
989;16
990;65
991;2
995;1
996;15
998;2
1002;6
1003;1
1004;15
1008;2
1010;5
1014;34
1015;18
1016;20
1018;3
1019;1
1022;1
1026;2
1027;4
1030;71
1031;12
1032;3
1034;7
1035;5
1041;2
1042;4
1046;9
1048;2
1049;6
1054;7
1057;1
1058;1
1060;1
1061;96
1063;65
1066;5
1067;5
1068;3
1069;1
1071;2
1073;1
1074;11
1075;3
1076;12
1079;5
1083;7
1085;5
1086;3
1088;2
1094;3
1095;5
1101;1
1112;1
1117;28
1118;2
1122;2
1125;3
1126;6
1150;16
1151;13
1160;4
1161;14
1162;3
1163;1
1219;6
1223;3
1224;3147
1227;2
1229;2
1231;18
1233;6
1234;45
1236;2046
1239;912
1243;18
1244;4
1245;10
1246;8
1247;7
1249;1
1251;2
1252;3
1254;1
1255;4
1260;1
1261;5
1263;111
1264;51
1265;36
1267;1
1268;16
1269;3
1270;21
1273;4
1274;4
1279;177
1280;3823
1281;1
1282;12
1283;28
1284;2
1286;1
1288;1
1290;14
1292;1
1293;2
1296;119
1298;16
1299;1
1300;12
1301;468
1302;6
1303;3
1304;13
1305;5
1306;5
1307;1002
1308;12
1309;6
1310;1
1311;73
1313;416
1314;24
1317;1
1318;6
1322;2
1323;20
1326;10
1328;13
1329;3
1334;112
1335;15
1336;13
1337;18
1338;5
1340;5
1346;103
1348;18
1349;184
1350;178
1351;675
1352;44
1353;34
1354;6
1356;2
1357;125
1358;108
1359;26
1360;2
1363;13
1364;20
1366;105
1373;4
1375;11
1376;9
1377;4
1378;2
1379;2
1381;6
1385;103
1386;214
1390;2
1391;13
1393;7
1396;119
1397;10
1398;5
