TaxID;output/DNA_220607_20-22hmix_centri_BIOMcombi_S17_kaiju.out
0;5833992
1;77449
2;7267
7;14
9;9
10;3
14;5
20;1
21;2
22;103
24;2
25;2
31;7
32;2
39;2
50;1
52;2
53;2
54;2
56;4
59;87
61;13
63;2
64;4
68;10
69;7
72;18
75;2
81;2
82;5
84;1
85;2
100;14
102;2
103;8
104;13
105;10
106;8
107;13
113;1
114;2
119;3
133;1
137;1
138;1
144;4
150;1
154;2
156;13
157;17
158;41
159;1
162;16
163;22
164;14
165;2
166;16
167;4
171;28
172;4
173;5
174;1
178;1
180;1
183;2
190;3
191;20
192;10
194;115
195;41
196;77
197;95
198;10
199;60
200;16
201;16
202;12
204;9
206;3
209;99
210;62
213;1
215;9
216;2
217;1
222;40
226;2
232;4
234;47
235;2
237;651
238;69
239;172
244;25
245;11
247;6
250;20
251;1
253;98
254;47
256;69
258;15
262;3
263;1
265;40
266;45
270;5
271;1
274;15
276;4
277;2
279;4
280;1
283;225
285;50
286;664
287;423
292;11
293;10
294;55
296;8
297;8
298;2
300;35
301;44
303;192
304;1
305;24
306;17
316;194
317;17
321;2
329;18
337;7
338;21
339;23
343;3
346;4
347;2
349;2
350;24
352;5
353;24
354;9
356;90
357;10
358;62
359;26
373;12
374;35
375;16
379;32
380;19
381;9
382;80
384;42
385;1
391;15
396;1
399;2
403;10
404;1
405;1
407;4
408;5
409;9
410;3
414;14
415;1
416;8
418;1
421;2
433;10
434;27
436;1
441;5
442;8
445;8
446;40
449;1
451;5
452;6
454;1
466;18
468;244
469;12553
470;1835
471;46
472;283
475;146
476;23
477;9
478;478
479;2
480;228
481;107
482;223
483;12
484;2
485;22
486;37
487;65
488;2
489;1
490;6
492;4
494;9
496;4
497;164
498;5
502;1
504;4
506;18
507;17
511;90
517;6
518;13
519;5
521;8
522;1
525;2
529;62
531;8
535;45
536;32
537;3
538;15
539;28
543;475
544;30
545;10
546;91
547;56
548;13
549;10
550;31
551;3
552;8
553;11
554;12
555;5
561;23
562;1170
564;16
565;3
568;2
569;5
570;84
571;11
573;372
575;2
577;1
579;3
580;4
581;2
582;16
583;10
584;7
585;6
586;46
587;18
588;6
590;5
613;29
614;8
615;38
624;14
626;15
628;4
629;150
630;18
631;14
632;14
633;4
634;2
635;1
636;18
637;7
638;2
641;14
642;1738
644;261
645;72
646;90
647;14
648;272
649;4
650;32
651;78
652;2
654;492
656;37
657;8
659;5
662;83
663;34
666;25
668;2
669;7
670;43
672;10
673;1
674;2
675;1
676;5
685;4
687;2
688;1
689;1
691;5
702;2
703;13
712;148
713;18
714;10
715;9
720;1
722;2
724;20
726;6
727;16
728;55
729;12
730;1
731;12
732;1
738;22
739;1
745;10
747;46
749;2
750;42
753;3
755;1
756;1
757;11
758;18
761;17
773;15
784;1
788;1
809;3
813;552
815;911
816;1285
817;239
818;204
820;133
821;216
823;574
826;3947
827;2
830;35
831;35
832;23
833;4
836;13
837;52
838;1603
839;48
841;30
844;31
847;13
848;167
849;24
850;83
851;36
852;111
853;523
854;9
856;26
858;4
859;85
860;1
861;184
863;3
864;23
865;340
866;3
868;2
870;65
872;71
873;6
876;179
878;1
879;1
880;1
881;2
885;1
890;2
891;1
892;7
893;1
894;60
895;14
897;2
898;2
899;1
901;22
904;19
905;2
906;24
907;54
911;1
912;5
913;3
914;13
915;1
916;7
917;12
920;2
921;1
924;8
929;3
930;17
933;1
934;1
935;2
943;1
948;2
953;1
958;7
959;63
960;22
963;7
964;5
965;10
966;236
970;25
971;101
972;5
976;723
978;1
979;1
982;10
983;6
985;13
986;9
987;1
989;17
990;45
991;1
995;1
996;106
997;1
998;3
999;3
1002;2
1003;4
1004;13
1008;4
1010;8
1013;1
1014;17
1015;85
1016;37
1018;30
1019;7
1021;1
1022;5
1027;8
1028;1
1030;35
1031;12
1032;5
1034;5
1035;5
1041;4
1042;3
1046;6
1048;1
1049;1
1052;6
1054;10
1056;1
1060;3
1061;19
1063;47
1064;1
1066;14
1067;2
1069;1
1073;1
1074;7
1076;6
1079;5
1082;2
1083;10
1084;1
1085;1
1088;5
1094;2
1095;1
1117;39
1118;2
1122;1
1124;1
1125;8
1126;6
1150;40
1151;22
1153;2
1160;12
1161;22
1162;3
1163;4
1177;4
1178;3
1179;1
1186;2
1218;11
1219;14
1224;2207
1227;4
1229;4
