TaxID;output/DNA_220607_22-24hmix_centri_BIOMcombi_S18_kaiju.out
0;7807684
1;108971
2;11248
7;31
9;20
10;1
14;2
16;2
19;2
20;1
21;5
22;173
24;3
25;1
29;3
31;5
32;2
34;2
39;1
47;1
48;2
53;3
56;10
59;90
61;17
63;2
64;3
68;10
69;1
72;11
75;4
82;3
84;3
85;2
93;1
100;22
102;15
103;17
104;20
105;10
106;19
107;32
112;1
113;4
114;3
119;4
122;1
124;2
125;3
128;2
133;4
136;5
137;1
144;13
150;2
154;1
156;24
157;19
158;51
159;1
162;24
163;23
164;13
165;6
166;21
167;15
171;51
172;7
173;5
178;2
180;1
183;1
189;1
190;7
191;32
192;14
194;164
195;84
196;91
197;142
198;8
199;106
200;38
201;19
202;7
204;27
206;8
209;113
210;82
213;1
215;13
216;6
217;2
222;54
226;3
232;1
234;52
235;3
237;1443
238;111
239;399
244;21
245;16
246;2
247;9
250;34
251;2
253;117
254;72
256;90
258;18
262;18
265;42
266;76
270;9
274;26
276;3
277;3
279;4
280;1
283;303
285;68
286;867
287;598
292;20
293;12
294;91
296;24
297;7
300;59
301;51
303;245
304;2
305;36
306;65
316;251
317;14
321;1
323;1
329;18
337;13
338;17
339;11
343;4
346;4
347;3
349;6
350;34
352;12
353;31
354;13
356;153
357;26
358;87
359;34
373;22
374;35
375;28
376;5
379;49
380;13
381;2
382;143
384;60
391;10
399;14
403;6
405;6
407;19
408;3
409;14
410;2
414;12
416;3
421;3
425;4
433;19
434;53
436;3
438;14
441;7
442;15
444;3
445;5
446;56
449;2
451;2
452;1
454;2
458;1
459;2
466;17
468;325
469;21478
470;3154
471;67
472;421
475;197
476;37
477;28
478;1092
479;4
480;507
481;181
482;369
483;14
484;2
485;30
486;58
487;112
488;2
490;4
492;5
494;13
495;2
496;5
497;230
498;11
502;3
504;5
505;1
506;36
507;18
511;82
517;13
518;17
519;17
520;1
521;14
529;75
531;4
533;2
535;70
536;33
537;6
538;16
539;22
542;1
543;694
544;65
545;27
546;143
547;88
548;29
549;13
550;46
551;2
552;19
553;11
554;12
555;9
561;53
562;1693
564;28
565;7
566;2
568;4
569;11
570;115
571;11
573;924
575;2
577;6
579;4
580;3
581;3
582;19
583;17
584;41
585;10
586;51
587;21
588;7
590;8
595;1
613;35
614;19
615;58
621;1
623;2
624;16
626;24
628;2
629;227
630;24
631;18
632;16
633;5
634;3
635;1
636;23
637;3
638;8
641;25
642;2496
644;361
645;117
646;163
647;14
648;418
649;8
650;56
651;116
652;7
654;702
656;58
657;15
659;4
662;115
663;69
666;34
668;4
669;6
670;64
672;22
675;1
676;3
680;3
685;6
686;1
688;3
689;4
691;1
702;3
703;14
712;178
713;22
714;20
715;8
717;2
720;8
722;2
723;1
724;30
726;7
727;12
728;82
729;22
730;4
731;29
732;3
734;4
738;30
745;17
747;87
749;2
750;38
753;2
756;5
757;12
758;31
761;12
773;40
779;1
780;1
781;1
785;1
807;2
809;5
813;599
815;1490
816;2304
817;303
818;294
820;171
821;323
823;943
826;6707
827;3
830;61
831;58
832;33
833;5
836;38
837;92
838;3769
839;80
841;67
844;17
847;16
848;306
849;44
850;135
851;56
852;183
853;589
854;22
856;74
858;7
859;115
861;296
863;16
864;16
865;712
867;1
868;3
870;81
872;95
873;12
876;225
879;1
881;7
890;1
891;3
892;5
893;10
894;72
895;9
898;15
899;5
901;21
904;15
905;1
906;43
907;73
911;2
912;7
913;1
914;11
915;2
916;8
917;34
919;1
920;2
921;1
924;10
930;20
935;1
942;2
943;1
948;1
951;1
953;2
958;11
959;131
960;86
963;14
964;3
965;22
966;443
970;43
971;145
972;3
976;1348
978;4
982;7
983;14
985;13
986;15
987;1
988;1
989;47
990;138
991;13
995;4
996;197
997;3
998;8
999;5
1002;5
1003;9
1004;5
1008;4
1010;11
1013;2
1014;20
1015;153
1016;52
1018;36
1019;5
1021;2
1022;3
1026;4
1027;6
1028;1
1030;40
1031;22
1032;7
1034;5
1035;3
1041;6
1042;2
1046;7
1048;1
1050;3
1052;7
1054;16
1057;3
1058;1
1060;1
1061;27
1063;59
1064;2
1066;7
1067;10
1068;1
1069;2
1073;2
1074;14
1076;15
1079;2
1083;2
1084;1
1088;1
1091;1
1094;5
1095;6
1096;1
1101;3
1117;59
1118;4
1122;2
1124;1
1125;5
1126;11
1142;1
1150;46
1151;24
1152;2
1153;2
1160;20
1161;33
1162;8
1163;2
1177;5
1178;5
1179;1
1182;2
1186;2
1190;2
1198;1
1202;1
1218;13
1219;10
1220;1
1223;2
1224;3272
1227;2
1229;3
1231;11
1233;4
1234;33
1236;1826
1238;2
1239;2621
1243;52
1244;21
1245;39
1246;28
1247;10
1249;18
1251;3
1252;12
1253;2
1254;2
1255;9
1257;7
1258;4
1260;42
1261;14
1263;761
1264;162
1265;81
1266;5
1267;13
1268;10
1269;2
1270;10
1273;4
1279;379
1280;5129
1281;5
1282;301
1283;100
1284;4
1286;5
1288;12
1290;52
1292;10
1293;3
1294;2
1296;174
1298;26
1299;1
1300;45
1301;1874
1302;3
1303;4
1304;22
1305;15
1306;13
1307;3983
1308;63
1309;8
1310;1
1311;648
1313;731
1314;134
1317;4
1318;12
1322;6
1323;21
1326;42
1328;107
1329;12
1333;3
1334;464
1335;15
1336;63
1337;91
1338;6
1340;19
1345;2
1346;418
1348;103
1349;785
1350;552
1351;906
1352;389
1353;119
1354;16
1355;6
1356;14
1357;305
1358;391
1359;37
1360;15
1363;53
1364;88
1365;1
1366;303
1372;3
1373;4
1375;25
1376;10
1377;17
1378;11
1379;1
1380;1
1381;1
1382;1
1383;2
1385;352
1386;642
1390;36
1391;25
1392;3
1393;41
1396;270
1397;67
1398;23
1399;37
1401;6
1402;37
1404;111
1405;927
1406;43
1408;110
1411;1
1418;1
1421;92
1422;11
1423;113
1426;5
1428;116
1430;2
1445;1
1449;2
1450;12
1451;12
1452;109
1454;11
1455;51
1456;1
1459;5
1461;2
1462;3
1464;36
1465;76
1467;20
1471;30
1472;11
1473;11
1474;4
1476;1
1477;3
1478;10
1479;1
1482;18
1484;7
1485;1606
1488;15
1490;146
1491;1103
1492;216
1493;15
1494;84
1495;6
1496;234
1497;33
1498;19
1499;23
1501;63
1502;489
1503;60
1504;13
1505;103
1506;58
1509;148
1510;6
1511;785
1512;57
1513;38
1515;18
1516;5
1517;5
1519;111
1520;724
1521;9
1522;99
1525;3
1526;2
1527;238
1528;105
1529;57
1530;10
1531;129
1532;6
1533;10
1534;124
1535;15
1537;17
1538;6
1540;33
1541;52
1542;14
1544;4
1547;129
