TaxID;output/DNA_220607_20-22hmix_cer_BIOMcombi_S15_kaiju.out
0;2905607
1;42123
2;4750
7;23
9;11
10;3
14;4
21;1
22;78
29;1
31;4
32;1
35;1
40;2
47;3
48;2
51;1
53;1
56;3
59;39
61;13
63;2
64;3
68;5
69;7
72;9
75;4
82;4
84;5
99;1
100;21
102;5
103;4
104;7
105;3
106;7
107;1
114;3
119;2
125;2
133;1
136;2
138;1
148;3
154;1
156;19
157;4
158;22
162;7
163;2
164;1
165;2
166;19
167;1
171;12
173;1
180;2
189;2
190;1
191;25
192;5
194;29
195;36
196;22
197;35
198;5
199;7
200;6
201;4
202;6
204;2
209;16
210;9
216;1
222;63
226;1
232;7
234;41
235;1
237;178
238;44
239;37
244;13
245;3
247;8
250;8
253;24
254;17
256;32
258;3
262;14
263;1
265;42
266;53
270;3
271;1
274;11
277;2
280;2
283;166
285;73
286;738
287;217
292;15
293;3
294;87
296;5
297;3
300;25
301;57
303;60
305;24
306;16
316;180
317;17
319;1
329;28
337;5
338;31
339;10
343;5
346;5
347;2
350;9
351;1
352;13
353;14
354;7
356;128
357;18
358;57
359;31
373;21
374;36
375;16
376;4
379;36
380;12
381;7
382;115
384;41
385;1
387;2
391;15
396;2
399;12
403;2
404;1
405;4
407;20
408;9
409;6
410;1
414;3
415;5
416;3
418;4
421;4
425;2
429;1
433;16
434;13
438;5
441;1
442;3
444;4
445;6
446;63
451;5
452;1
459;1
464;1
466;25
468;244
469;12662
470;1497
471;54
472;139
475;134
476;38
477;22
478;107
479;3
480;149
481;84
482;180
483;7
485;3
486;18
487;82
488;1
489;1
492;2
494;17
496;1
497;155
498;4
500;1
504;4
505;2
506;34
507;9
511;59
517;9
518;16
519;15
521;19
522;1
523;1
525;1
529;86
531;4
532;1
533;1
535;30
536;14
537;3
538;10
539;18
542;1
543;606
544;51
545;10
546;103
547;99
548;13
549;20
550;15
551;2
552;12
553;13
554;10
555;3
556;1
561;17
562;1055
564;9
565;4
566;1
568;2
569;9
570;139
571;6
573;234
577;2
580;3
581;7
582;27
583;11
584;11
585;2
586;32
587;6
588;5
590;4
595;1
613;52
614;22
615;40
623;2
624;4
626;17
628;3
629;162
630;17
631;14
632;1
633;6
634;3
635;7
636;33
637;4
638;4
641;23
642;2366
644;236
645;116
646;46
647;4
648;323
649;9
650;20
651;131
652;1
654;394
656;27
657;12
659;3
662;68
663;57
666;17
669;5
670;53
672;7
673;1
675;3
676;1
680;2
685;2
687;4
689;8
691;2
702;1
703;11
712;60
713;5
714;7
715;4
722;1
724;5
726;12
727;10
728;70
729;6
730;2
731;9
732;1
735;1
738;21
745;7
747;25
749;2
750;19
753;3
756;3
757;12
758;10
761;25
766;2
768;1
773;17
780;1
809;7
810;1
813;116
815;705
816;910
817;109
818;162
820;130
821;149
823;650
824;1
826;160
830;15
831;7
832;11
833;2
836;4
837;44
838;1039
839;30
840;3
841;13
844;3
847;19
848;18
849;2
850;13
851;10
852;23
853;103
854;1
856;4
858;1
859;39
860;1
861;46
862;1
863;1
864;22
865;258
870;62
872;94
873;8
876;241
878;1
879;1
881;9
891;6
892;4
893;4
894;45
895;9
898;7
899;2
901;14
904;10
906;25
907;39
911;1
912;5
