TaxID;output/DNA_220707_22-24hmix_cer_BIOMminiprep_S28_kaiju.out
0;12616699
1;200387
2;17149
7;39
9;59
10;23
11;1
13;1
14;60
16;10
19;6
20;2
21;2
22;441
24;6
25;4
29;2
31;6
32;5
34;13
35;2
39;2
41;4
48;5
49;1
51;2
52;2
53;2
54;1
56;8
59;102
61;21
63;3
64;6
68;11
69;8
72;40
75;9
81;2
82;24
84;4
99;1
100;25
102;20
103;32
104;17
105;10
106;19
107;33
113;3
114;5
119;5
125;2
128;7
133;3
134;1
136;5
137;1
138;5
139;1
144;16
146;2
150;1
154;4
156;27
157;47
158;86
159;4
162;35
163;41
164;49
165;3
166;58
167;11
171;79
172;2
173;2
178;1
180;1
183;2
188;1
189;4
190;26
191;58
192;38
193;2
194;185
195;125
196;229
197;288
198;14
199;111
200;99
201;33
202;17
204;5
205;2
206;5
209;97
210;70
213;2
214;1
215;17
216;4
217;1
222;107
226;14
232;19
234;59
235;4
237;1453
238;180
239;211
244;30
245;8
246;1
247;22
250;55
251;1
253;239
254;92
256;116
258;26
262;29
263;1
265;84
266;174
270;7
274;39
276;1
277;12
279;7
280;1
283;414
285;84
286;1709
287;914
292;38
293;13
294;155
296;20
297;23
298;3
300;119
301;119
303;314
305;73
306;26
316;557
317;33
321;2
323;1
329;40
337;12
338;44
339;19
343;6
346;11
347;6
349;12
350;80
352;17
353;43
354;43
356;194
357;14
358;154
359;50
373;24
374;67
375;22
376;5
379;79
380;45
381;20
382;227
384;103
387;1
391;39
399;21
403;8
405;3
407;31
408;10
409;18
410;3
413;1
414;23
416;12
418;4
421;4
425;6
428;3
429;4
433;39
434;61
438;8
441;10
442;11
444;1
445;16
446;43
449;2
451;13
452;1
454;3
458;2
463;1
466;67
468;692
469;56380
470;6235
471;149
472;592
475;498
476;107
477;90
478;835
479;9
480;524
481;230
482;333
483;19
485;31
486;60
487;127
488;2
490;5
492;5
493;2
494;34
495;7
496;1
497;267
498;4
500;2
502;2
504;24
505;1
506;66
507;30
511;167
517;18
518;28
519;37
521;32
522;4
523;1
525;1
529;173
531;3
533;2
535;163
536;30
537;7
538;21
539;50
542;1
543;2127
544;134
545;59
546;283
547;103
548;38
549;18
550;83
551;2
552;17
553;16
554;12
555;4
556;4
561;59
562;3306
564;75
565;15
566;2
568;5
569;32
570;470
571;49
573;836
575;9
577;9
579;4
580;7
581;15
582;60
583;59
584;31
585;15
586;146
587;31
588;8
590;17
596;1
613;102
614;27
615;86
620;2
621;2
623;4
624;18
626;39
628;5
629;417
630;44
631;51
632;23
633;43
634;4
635;9
636;136
637;11
638;16
641;43
642;4086
644;576
645;405
646;166
647;10
648;902
649;19
650;82
651;207
652;6
654;1273
656;80
657;35
659;32
662;316
663;179
666;92
668;1
669;27
670;103
672;25
673;2
674;4
675;5
676;5
680;4
685;5
687;5
689;5
691;11
702;8
703;105
712;233
713;29
714;37
715;27
716;1
717;1
718;2
720;6
722;7
724;24
726;5
727;23
728;50
729;33
730;14
731;35
733;8
734;1
735;2
738;55
745;39
747;87
749;2
750;56
753;9
755;1
756;8
757;51
758;26
761;92
766;1
773;26
777;1
779;1
780;2
809;21
810;5
813;903
815;1999
816;3881
817;736
818;549
820;298
821;589
823;2099
824;1
826;2103
827;11
