TaxID;output/DNA_220602_22-24hmix_cer_BIOMcombi_S14_kaiju.out
0;5592489
1;66012
2;6052
6;2
7;15
9;18
10;3
14;7
16;5
19;3
22;60
24;1
31;2
32;3
34;2
40;1
48;2
52;2
53;6
56;3
59;73
61;16
63;1
64;1
68;3
69;4
72;12
75;5
82;1
84;1
85;1
94;1
100;14
102;11
103;8
104;13
105;7
106;5
107;10
114;3
119;3
133;1
136;7
144;3
150;3
156;9
157;35
158;38
159;1
162;31
163;34
164;37
165;3
166;33
167;10
171;43
172;4
173;5
178;4
179;1
180;1
183;2
190;2
191;24
192;8
193;2
194;72
195;29
196;77
197;52
198;4
199;47
200;38
201;23
202;4
204;3
206;1
209;63
210;28
213;2
215;3
216;2
222;26
226;6
232;1
234;19
236;1
237;587
238;52
239;78
244;28
245;1
247;7
250;21
253;92
254;41
256;60
258;26
262;17
263;1
265;14
266;74
270;6
271;1
274;40
276;1
277;5
281;1
283;95
285;28
286;582
287;309
292;5
293;2
294;57
296;9
297;13
300;26
301;38
303;220
305;26
306;6
316;144
317;11
321;1
329;9
337;5
338;14
339;2
343;2
346;2
349;1
350;8
352;5
353;17
354;6
356;61
357;4
358;47
359;16
373;15
374;29
375;8
379;33
380;12
381;1
382;73
384;41
391;6
399;9
403;3
405;2
407;12
408;2
409;11
414;3
418;2
425;3
429;1
433;7
434;20
435;1
438;2
441;4
442;2
444;2
445;6
446;9
449;2
450;1
451;7
459;2
460;1
466;4
468;138
469;10399
470;2018
471;31
472;219
475;116
476;23
477;10
478;154
479;3
480;159
481;97
482;135
483;11
484;1
485;6
486;17
487;53
488;2
490;2
492;3
494;5
495;1
496;1
497;115
498;8
502;3
504;8
505;2
506;21
507;11
511;74
517;2
518;4
519;1
521;3
522;1
525;1
529;107
531;14
533;3
535;32
536;14
537;5
538;5
539;11
543;370
544;20
545;22
546;44
547;41
548;10
549;11
550;28
552;3
553;8
554;5
555;2
561;22
562;881
564;28
565;6
566;4
568;1
569;10
570;73
571;9
573;264
574;1
577;4
580;4
581;2
582;16
583;10
584;7
585;5
586;37
587;6
588;1
590;2
600;1
613;35
614;7
615;38
623;1
624;5
626;14
628;4
629;147
630;17
631;17
632;12
633;3
634;2
635;3
636;30
637;3
638;10
641;7
642;861
644;114
645;38
646;60
647;2
648;203
649;3
650;25
651;49
652;2
654;216
656;18
657;6
659;6
662;76
663;36
666;18
668;5
669;13
670;30
672;13
673;1
674;2
676;1
680;3
685;2
689;4
691;1
702;3
703;5
712;75
713;12
714;6
715;5
722;2
723;1
724;15
726;3
727;16
728;29
729;17
730;3
731;13
738;26
745;11
747;24
749;1
750;42
753;1
755;1
757;20
758;8
761;11
773;7
777;1
780;1
784;1
809;9
810;1
813;474
815;844
816;1490
817;306
818;206
820;120
821;216
823;501
826;1075
827;2
830;77
831;46
832;25
833;4
836;23
837;126
838;1097
839;93
840;6
841;72
844;11
847;15
848;87
849;16
850;50
851;17
852;43
853;408
854;3
856;26
858;5
859;53
860;3
861;70
863;7
864;17
865;546
866;1
868;3
870;64
872;53
873;12
876;246
878;1
879;2
880;3
881;7
885;1
889;1
890;1
891;5
892;8
893;4
894;96
895;11
897;1
898;11
899;1
901;21
904;14
905;1
906;35
907;118
911;1
912;2
913;1
914;5
915;3
916;4
917;9
920;5
924;7
926;1
930;9
933;1
934;3
943;1
948;2
953;2
958;28
959;103
960;64
963;7
964;2
965;15
966;160
970;27
971;132
972;2
976;773
978;1
