TaxID;output/DNA_220707_22-24hmix_cer_BIOMcombi_S30_kaiju.out
0;10725780
1;193645
2;19974
7;38
9;47
10;32
11;1
13;1
14;35
16;3
19;2
20;1
21;1
22;426
23;2
24;4
25;4
29;1
31;6
32;4
34;6
35;3
40;1
41;1
43;1
48;6
50;1
51;2
56;8
59;253
61;37
63;4
64;1
68;2
69;18
72;30
75;8
82;24
84;6
99;1
100;35
102;7
103;20
104;13
105;13
106;17
107;21
113;2
114;14
119;6
122;2
124;3
125;4
126;4
128;11
134;1
136;7
137;2
138;2
144;7
148;2
150;6
156;44
157;30
158;72
159;2
162;24
163;26
164;24
165;5
166;51
167;9
171;58
172;6
173;3
178;4
180;1
183;1
189;7
190;23
191;97
192;23
193;1
194;116
195;92
196;127
197;168
198;5
199;69
200;51
201;28
202;13
203;1
204;6
205;3
206;3
209;85
210;58
213;1
215;6
216;3
217;3
222;123
226;13
232;12
234;59
235;5
237;1115
238;104
239;195
244;20
245;10
246;1
247;8
250;34
251;1
253;132
254;63
256;100
258;16
262;34
263;7
265;59
266;133
270;3
271;3
274;37
277;10
279;8
280;1
283;1033
285;168
286;2100
287;1303
292;52
293;28
294;209
296;29
297;14
298;2
300;132
301;173
303;1374
305;64
306;70
316;538
317;51
321;6
329;80
337;14
338;70
339;43
343;9
346;13
347;6
349;24
350;128
352;12
353;86
354;26
356;218
357;20
358;180
359;54
373;48
374;100
375;36
376;3
379;91
380;33
381;23
382;218
384;125
391;49
396;4
399;35
403;9
404;1
405;6
407;47
408;6
409;12
410;4
414;16
415;2
416;7
418;6
421;7
425;6
429;5
433;40
434;56
438;13
441;14
442;4
444;6
445;10
446;46
449;3
450;1
451;6
452;2
459;1
466;24
468;598
469;45648
470;5017
471;123
472;494
475;419
476;96
477;68
478;614
479;18
480;520
481;246
482;640
483;12
484;3
485;46
486;77
487;150
488;9
490;15
492;11
493;1
494;28
495;3
496;6
497;267
498;8
500;1
502;10
504;37
506;77
507;26
511;149
517;20
518;33
519;60
521;40
522;2
525;3
529;165
531;6
533;2
535;128
536;85
537;7
538;24
539;84
543;2693
544;205
545;65
546;292
547;181
548;44
549;37
550;187
551;2
552;23
553;25
554;27
555;7
556;1
561;84
562;3566
564;34
565;12
566;3
568;1
569;44
570;467
571;45
573;1000
574;3
575;12
577;13
579;4
580;1
581;4
582;67
583;36
584;36
585;8
586;119
587;54
588;9
590;13
595;1
600;3
613;125
614;34
615;113
618;1
622;1
623;11
624;17
626;37
628;6
629;607
630;54
631;39
632;35
633;50
634;4
635;9
636;100
637;9
638;14
641;33
642;7177
644;1470
645;492
646;248
647;34
648;1537
649;15
650;121
651;302
652;11
654;3046
656;154
657;41
659;26
662;292
663;120
666;110
668;5
669;25
670;129
672;23
673;7
674;2
675;1
676;10
680;2
685;2
687;13
688;1
689;12
691;6
702;9
703;128
712;211
713;11
714;34
715;22
718;1
720;3
722;4
724;14
726;2
727;20
728;148
729;16
730;9
731;41
732;5
733;1
734;3
735;1
738;40
745;32
747;69
749;8
750;71
753;11
754;1
756;8
757;31
758;20
761;62
773;40
774;1
809;21
813;3006
815;2728
816;3868
817;542
818;531
820;261
821;558
823;1809
826;1372
827;4
830;116
831;83
832;54
833;8
836;44
837;223
838;4739
839;134
840;11
841;214
844;25
847;52
848;183
849;24
850;94
851;24
852;69
853;2468
854;3
856;35
858;12
859;148
860;2
861;153
863;7
864;83
865;1611
866;3
867;2
868;2
870;101
872;300
873;21
876;1107
878;3
879;3
880;1
881;30
885;3
889;5
890;1
891;5
892;13
893;15
894;522
895;25
897;6
898;45
899;7
901;68
904;38
905;7
906;200
907;503
912;11
913;4
914;20
915;9
916;26
917;48
919;6
920;8
921;5
924;42
929;4
930;23
933;1
935;2
940;2
942;1
953;1
955;3
958;19
959;156
960;27
963;8
964;4
965;65
966;726
970;71
971;401
972;5
976;1654
978;8
982;22
983;22
985;14
986;9
989;40
990;215
991;3
995;6
996;158
997;3
998;21
999;7
1002;3
1003;15
1004;16
1008;2
1010;16
1013;2
1014;35
1015;133
1016;61
1018;10
1019;7
1021;3
1022;4
1026;6
1027;18
1028;1
1030;155
1031;35
1032;16
1033;1
1034;9
1035;12
1041;3
1042;7
1044;1
1046;22
1047;2
1049;6
1050;4
1052;11
1053;4
1054;19
1057;2
1060;2
1061;22
1063;95
1064;2
1066;15
1067;11
1068;3
1069;4
1073;4
1074;28
1075;6
1076;19
1083;14
1084;4
1085;2
1086;2
1088;7
1091;1
1092;2
1094;8
1095;11
1096;1
1098;1
1101;4
1102;1
1117;83
1118;1
1124;4
1125;13
1126;24
1150;70
1151;20
1152;1
1153;1
1158;2
1160;12
1161;39
1162;8
1175;3
1177;9
1182;1
1186;2
1202;2
1218;20
1219;13
1223;2
1224;7101
1227;2
1229;8
1231;20
1233;11
1234;44
1236;4579
1238;3
1239;3547
1243;255
1244;38
1245;208
1246;90
1247;19
1249;26
1251;12
1252;11
1253;7
1254;3
1255;28
1257;7
1258;1
1260;51
1261;21
1263;693
1264;210
1265;156
1267;7
1268;20
1269;4
1270;30
1272;1
1273;5
1274;2
1275;1
1276;1
1279;453
1280;11978
1281;1
1282;122
1283;98
1284;14
1285;1
1286;6
1288;14
1290;74
1292;5
1293;5
1294;1
1296;302
1298;29
1300;122
1301;7036
1302;16
1303;41
1304;25
1305;30
1306;8
1307;15875
1308;191
1309;28
1310;1
1311;2258
1313;738
1314;489
1317;1
1318;6
1322;45
1323;31
1326;147
1328;203
1329;37
1334;2189
1335;77
1336;193
1337;259
1338;33
1339;1
1340;63
1345;3
1346;1130
1348;489
1349;2755
1350;636
1351;1743
1352;336
1353;140
1354;12
1355;4
1356;2
1357;601
1358;726
1359;66
1360;16
1363;79
1364;89
1366;258
1372;11
1373;10
1375;28
1376;21
1377;45
1378;9
1380;1
1381;5
1382;2
1383;5
1385;397
1386;787
1390;19
1391;26
1392;11
1393;34
1396;377
1397;93
1398;33
1399;20
1401;7
1402;79
1404;131
1405;2332
1406;61
1408;119
1411;1
1418;2
1421;92
1422;11
1423;165
1426;10
1428;151
1430;3
1445;1
1449;2
1450;28
1451;30
1452;88
1454;9
1455;48
1456;3
1458;1
1459;5
1462;1
1464;38
1465;113
1467;40
1471;42
1472;23
1473;13
1476;10
1477;2
1478;18
1479;2
1482;31
1484;3
1485;1641
1488;27
1490;185
1491;1158
1492;164
1493;29
1494;152
1495;14
1496;223
1497;61
1498;19
1499;53
1501;49
1502;518
1503;21
1504;9
1505;108
1506;76
1509;127
1510;11
1511;895
1512;134
1513;53
1515;18
1516;8
1517;9
1519;153
1520;507
1521;36
1522;167
1525;4
1526;3
1527;298
1528;374
1529;64
1530;21
1531;161
1532;20
1533;9
1534;101
1535;23
1537;9
1538;13
1540;39
1541;72
1542;6
1544;10
1547;134
1548;3
1551;5
1553;3
1556;60
1557;42
1559;45
1561;20
1562;1
1563;4
1564;61
1565;1
1569;16
1575;60
1578;91
1579;4
1580;31
1581;17
1582;15
1583;77
1584;673
1585;5
1587;24
1588;3
1589;17
1590;152
1591;16
1596;4
1597;282
1598;196
1599;72
1601;24
1604;7
1605;5
1606;3
1607;5
1610;278
1613;373
1618;16
1622;20
1623;20
1624;119
1625;4
1626;4
1629;1553
1630;19
1632;19
1633;5
1637;194
1639;664
1640;12
1641;8
1642;27
1643;3
1647;28
1649;5
1650;3
1652;14
1654;20
1655;2
1657;4
1661;8
1663;5
1664;5
1670;6
1678;62
1679;1
1680;48
1681;9
1684;8
1685;2
1688;3
1689;1
1692;1
1693;2
1694;36
1696;22
1703;2
1707;4
1710;22
1716;73
1717;46
1718;15
1719;1
1724;2
1725;6
1727;2
1730;180
1731;53
1732;26
1735;44
1736;387
1737;5
1741;1
1743;2
1744;20
1747;2
1748;2
1749;2
1750;5
1754;1
1760;244
1762;14
1763;16
1764;7
1766;13
1767;9
1768;17
1771;6
1772;1
1773;93
1774;23
1778;13
1781;5
1786;1
1790;1
1795;1
1813;4
1817;13
1822;2
1823;5
1827;70
1828;288
1829;14
1830;20
1833;18
1835;6
1839;9
1841;1
1844;2
1847;5
1848;2
1849;5
1854;2
1865;2
1867;1
1869;1
1873;6
1883;108
1886;5
1888;5
1898;12
1903;1
1907;4
1910;2
1914;3
1926;1
1927;4
1930;4
1945;1
1946;1
1969;2
1988;1
1992;6
1995;2
2002;5
2004;3
2005;1
2006;1
2013;1
2017;1
2023;10
2024;1
2033;10
2034;23
2035;1
2045;7
2049;32
2051;15
2052;5
2053;7
2054;7
2055;2
2057;5
2060;4
2061;2
2062;2
2070;6
2077;7
2078;4
2088;1
2092;4
2093;5
2094;2
2095;16
2099;1
2102;3
2104;1
2109;1
2113;1
2120;1
2121;1
2122;1
2132;3
2139;1
2146;14
2147;3
2148;2
2150;2
2151;2
2157;60
2160;20
2162;6
2164;1
2172;35
2173;19
2175;4
2177;8
2184;1
2188;4
2191;33
2192;4
2197;4
2198;1
2202;4
2203;6
2205;5
2206;25
2207;50
2208;19
2209;99
2210;3
2214;9
2220;29
2222;106
2223;158
2224;2
2225;2
2251;1
2259;1
2265;2
2277;1
2289;27
2290;7
2291;6
2292;15
2293;108
2296;2
2298;10
2302;1
2315;1
2322;8
2325;2
2330;8
2331;4
2335;4
2350;12
2352;2
2355;5
2358;3
2360;4
2369;1
2371;16
2374;40
2375;55
2377;13
2378;90
2420;1
2421;3
2426;17
2697;1
2698;26
2699;1
2701;2
2702;9
2717;43
2718;3
2723;1
2734;1
2736;4
2737;27
2738;419
2739;32
2741;16
2742;79
2743;34
2745;102
2746;5
2747;34
2748;68
2749;2
2750;9
2751;598
2754;87
2756;42
2757;8
2759;8
2879;4
2880;3
2949;6
2951;17
3039;5
3046;2
3052;2
3066;2
3068;2
3071;2
4756;3
4762;2
4792;4
4797;2
4821;1
4842;5
4874;1
4892;3
4930;1
4950;1
4953;1
5027;1
5052;6
5110;2
5116;1
5125;1
5207;1
5234;1
5302;1
5477;1
5758;33
5759;21
5806;2
5855;2
5884;2
5949;2
5963;2
5974;6
10239;205199
10288;7
10486;1
10487;3
10501;4
10506;2
10508;1
10509;9
10524;6
10566;16
10632;21
10663;16
10683;4
10685;1
10699;13
10704;50
10744;2
10747;2
10760;4
10780;42
10803;686
10804;26
10814;1
10841;21331
10842;2
10843;7
10845;5
10847;15
10848;8
10849;41
10850;2
10851;5
10860;593
10863;23
10867;6
10869;4
10872;34
12333;2314
12348;11
12429;1995
12440;33
12914;2
12916;852
12917;165
12967;2
12968;7
13075;21
13076;49
13134;1
13160;7
13243;11
13276;8
13373;1
13656;2
13684;1
13687;24
13689;6
13690;21
13725;8
28005;1
28025;21
28026;26
28031;19
28033;1
28034;7
28037;79
28038;48
28049;1
28050;3
28051;193
28052;18
28056;11
28064;5
28066;85
28067;2
28068;38
28072;2
28077;2
28080;10
28081;2
28083;1
28087;2
28088;1
28090;1234
28091;47
28092;12
28094;1
28095;126
28097;2
28099;16
28100;1
28101;2
28104;8
28105;33
28107;1
28108;3
28109;16
28110;8
28111;214
28112;235
28113;213
28114;30
28115;11
28116;558
28117;138
28118;160
28119;36
28122;1
28123;1
28124;3
28125;386
28126;7
28127;146
28128;42
28129;32
28130;66
28131;77
28132;78
28133;8
28134;4
28135;5
28136;2
28137;7
28139;4
28141;50
28150;1
28151;14
28152;65
28156;5
28159;3
28161;4
28169;2
28171;3
28172;3
28173;2
28176;1
28182;1
28183;3
28184;1
28187;6
28188;17
28189;29
28194;1
28195;1
28196;194
28197;5561
28198;15545
28199;3
28200;108
28201;1
28209;4
28210;5
28211;231
28214;15
28216;947
28219;1
28220;2
28221;269
28222;6
28223;52
28227;6
28228;15
28229;4
28230;4
28231;21
28232;1
28236;67
28240;4
28251;59
28253;15
28256;7
28258;1
28261;2
28263;1
28264;2
28444;4
28446;38
28447;7
28449;4
28450;129
28453;223
28454;15
28890;32
28895;4
28898;2
28901;634
28903;7
28907;6
29290;32
29298;1
29313;1
29316;2
29317;2
29321;1
29322;1
29330;14
29332;24
29341;15
29343;3
29344;1
29345;50
29347;103
29348;3
29349;1
29354;96
29355;19
29357;4
29358;4
