TaxID;output/DNA_220525_20-22hmix_centri_BIOMcombi_S9_kaiju.out
0;5098155
1;48966
2;10212
6;1
7;15
9;7
10;1
11;9
14;2
19;6
20;13
21;12
22;138
23;1
24;2
25;2
29;2
31;13
32;9
33;3
34;5
35;2
39;2
40;1
41;1
43;2
48;72
50;3
51;4
52;7
53;3
54;6
55;2
56;21
59;97
61;29
63;8
64;9
68;22
69;53
72;5
75;10
81;6
82;23
84;17
85;3
93;3
94;6
99;5
100;11
102;3
103;8
104;6
105;5
106;13
107;8
113;7
114;11
119;1
126;1
128;5
133;8
136;3
138;1
144;1
148;2
150;4
156;25
157;18
158;35
162;7
163;6
164;8
165;2
166;79
167;10
171;37
172;2
173;7
174;1
179;3
180;3
183;1
188;2
189;13
190;7
191;98
192;25
193;1
194;49
195;31
196;23
197;38
198;3
199;21
200;7
201;9
202;11
204;2
206;1
209;8
210;18
215;5
222;297
226;8
232;7
234;98
235;12
237;780
238;108
239;178
244;13
245;9
247;3
250;23
251;2
253;106
254;31
256;21
258;12
262;4
263;1
265;1650
266;210
270;7
274;13
277;6
279;6
280;4
281;5
283;926
285;213
286;2809
287;896
292;53
293;116
294;166
296;17
297;8
298;6
300;158
301;266
303;197
304;2
305;112
306;21
316;476
317;59
319;1
321;1
323;9
329;74
337;35
338;170
339;48
343;34
346;45
347;7
349;125
350;974
351;1
352;37
353;101
354;25
356;893
357;51
358;238
359;84
373;80
374;140
375;53
376;6
379;249
380;44
381;14
382;233
384;176
391;121
394;1
396;2
398;1
399;59
403;22
405;45
406;4
407;57
408;18
409;6
410;14
414;10
415;20
416;5
418;13
421;5
425;7
428;2
429;1
433;57
434;194
436;1
437;5
438;11
441;8
442;11
444;1
445;9
446;24
447;1
451;17
452;3
458;1
459;5
466;53
468;247
469;15528
470;1670
471;32
472;200
475;121
476;31
477;33
478;23
479;2
480;76
481;58
482;211
483;2
485;13
486;19
487;29
489;2
490;4
491;1
492;4
494;16
495;3
496;1
497;140
498;5
504;9
505;3
506;162
507;28
511;146
517;70
518;77
519;263
520;2
521;61
522;8
523;2
525;2
529;127
531;1
533;3
535;129
536;50
537;13
538;40
539;36
542;5
543;1387
544;119
545;36
546;117
547;70
548;34
549;32
550;59
552;137
553;17
554;18
555;4
561;26
562;1711
563;4
564;34
565;8
566;2
568;8
569;27
570;237
571;33
573;472
575;6
577;11
579;5
580;5
581;4
582;62
583;18
584;37
585;7
586;42
587;23
588;6
590;12
613;124
614;17
615;86
621;4
623;4
624;4
626;36
628;4
629;306
630;44
631;22
632;14
633;13
634;5
635;16
636;28
637;5
638;14
641;28
642;7791
644;683
645;229
646;106
647;3
648;1126
649;8
650;69
651;405
652;14
654;1016
656;89
657;8
659;4
662;126
663;49
666;51
668;6
669;8
670;81
672;10
673;4
674;2
675;3
676;6
685;1
687;12
691;2
702;14
703;34
712;100
713;6
714;12
715;8
722;20
724;16
726;2
727;12
728;13
729;13
730;2
731;26
732;2
733;3
735;1
738;28
745;13
747;30
749;1
750;26
752;1
753;5
756;1
757;20
758;21
761;36
766;3
773;39
777;2
809;7
813;318
815;902
816;1125
817;169
818;123
820;82
821;134
823;627
826;356
830;19
831;10
832;20
833;7
836;12
837;52
838;2948
839;30
840;1
841;52
844;9
847;58
848;48
849;6
850;60
851;13
852;26
853;1908
854;2
856;8
858;7
859;35
860;1
861;80
863;5
864;13
865;436
866;1
870;15
872;264
873;25
876;833
878;4
879;8
881;49
885;1
890;1
891;9
892;5
893;13
894;329
895;15
897;3
898;41
899;4
901;40
904;13
906;41
907;81
911;8
912;5
913;14
914;42
915;1
916;13
917;103
919;9
920;6
921;9
924;107
926;2
929;3
930;11
933;1
935;11
948;2
953;1
955;1
958;3
959;25
960;3
963;30
964;14
965;27
966;105
970;31
971;183
972;3
976;695
978;1
982;3
983;10
985;3
