TaxID;output/DNA_220629_20-22hmix_cer_BIOMminiprep_S23_kaiju.out
0;5108857
1;55795
2;6124
7;11
9;6
10;7
14;17
16;3
19;4
20;1
21;4
22;177
25;1
29;1
31;9
32;2
34;2
40;1
41;2
47;1
48;8
49;1
50;1
51;1
52;2
53;1
56;3
59;20
61;12
63;2
64;6
68;4
69;8
72;9
75;3
81;2
82;6
84;1
93;1
99;1
100;9
102;5
103;14
104;12
105;4
106;8
107;17
113;3
114;5
119;2
126;5
128;1
133;1
136;3
137;1
138;2
144;2
146;1
156;24
157;27
158;46
159;3
162;16
163;18
164;22
165;3
166;55
167;6
171;24
172;6
173;2
178;3
179;1
183;4
189;3
190;13
191;30
192;7
194;62
195;50
196;77
197;109
198;9
199;42
200;31
201;20
202;9
204;4
206;1
209;22
210;31
214;1
215;9
216;3
222;70
226;7
232;4
234;32
236;1
237;475
238;62
239;97
244;7
245;7
247;10
249;1
250;27
253;124
254;31
256;57
258;13
262;10
263;1
265;53
266;82
270;3
274;16
277;6
279;5
283;175
285;60
286;1020
287;392
292;20
293;9
294;79
296;9
297;2
298;2
300;63
301;49
303;93
305;40
306;10
316;232
317;20
321;1
323;3
329;25
337;13
338;29
339;6
343;6
346;4
347;4
349;2
350;7
352;13
353;30
354;21
356;125
357;10
358;75
359;42
373;33
374;66
375;15
376;5
379;49
380;20
381;9
382;121
384;62
387;2
391;21
394;1
396;1
398;1
399;17
403;3
405;5
407;22
408;2
409;17
410;7
413;2
414;10
415;3
416;6
418;5
421;2
428;1
429;3
433;20
434;30
438;7
441;5
442;9
444;2
445;3
446;29
449;2
451;17
452;3
454;1
456;1
466;50
468;349
469;22930
470;1905
471;62
472;253
475;155
476;49
477;39
478;142
479;4
480;155
481;62
482;96
485;7
486;8
487;40
488;1
489;1
490;2
492;2
493;1
494;10
497;108
498;2
504;6
505;2
506;57
507;17
511;140
517;14
518;28
519;67
521;17
522;5
525;1
529;128
531;1
533;2
535;68
536;21
537;9
538;16
539;20
542;3
543;1105
544;100
545;29
546;139
547;56
548;29
549;15
550;31
552;12
553;9
554;12
555;4
556;3
561;43
562;1327
563;1
564;31
565;6
566;2
568;4
569;5
570;190
571;19
573;338
575;4
577;5
579;2
580;4
581;4
582;36
583;24
584;34
585;4
586;64
587;23
588;8
590;11
613;79
614;19
615;48
623;3
624;10
626;18
628;10
629;145
630;30
631;24
632;4
633;21
635;4
636;22
637;4
638;11
641;7
642;2527
644;229
645;110
646;70
647;1
648;467
649;6
650;30
651;156
652;6
654;394
656;13
657;9
659;7
661;3
662;95
663;99
666;30
668;8
669;14
670;52
672;15
673;1
676;4
680;1
685;2
687;5
689;2
691;2
702;2
703;33
712;85
713;7
714;14
715;8
718;1
722;5
724;17
726;5
727;10
728;32
729;17
730;3
731;21
732;1
733;1
735;4
738;33
745;12
747;33
749;2
750;29
753;3
755;1
756;5
757;25
758;14
761;43
773;13
809;9
813;134
815;623
816;1420
817;358
818;208
820;98
821;231
823;849
824;1
826;886
827;2
830;29
831;25
832;27
833;5
836;24
837;193
838;815
839;86
840;5
841;21
844;10
847;24
848;57
849;19
850;114
851;17
852;49
853;155
854;1
856;17
858;1
859;88
860;1
861;113
862;1
863;8
864;32
865;866
866;1
867;1
870;24
872;228
873;11
876;929
878;1
879;5
880;1
881;24
885;1
890;3
891;7
892;3
893;7
894;111
895;17
897;2
898;35
899;6
901;51
904;22
905;4
906;66
907;144
911;4
912;2
913;3
914;26
915;1
916;4
917;30
920;5
921;2
924;25
930;14
935;1
948;2
958;3
959;60
960;4
963;14
964;3
965;24
966;470
970;26
971;200
972;4
976;540
978;1
982;9
983;17
985;4
986;5
989;52
990;87
991;4
995;3
996;92
997;1
998;11
999;2
1002;1
1003;5
1004;7
1008;1
1010;8
1014;35
1015;90
1016;34
1018;5
1019;3
1022;2
1027;6
1028;1
1030;24
1031;2
1032;6
1034;6
1035;4
1041;3
1042;1
1046;15
1047;2
1049;4
1050;2
1052;1
1053;1
1054;4
1057;2
1061;4
1063;49
1064;5
1066;5
1067;10
1069;3
1073;2
1074;21
1076;4
1079;2
1083;1
1084;3
1085;1
1086;1
1088;5
1094;4
1095;8
1097;1
1112;1
1117;40
1118;1
1124;1
1125;14
1126;11
1129;1
1142;2
1150;24
1151;9
1152;1
1153;1
1154;1
1158;2
1160;3
1161;22
1162;7
1163;4
1164;1
1166;1
1177;6
1178;2
1179;1
1186;1
1203;2
1218;3
1219;11
1223;3
1224;3291
1227;4
1229;6
1231;13
1233;4
1234;22
1236;1487
1239;1600
1243;52
1244;18
1245;28
1246;24
1247;12
1249;8
1251;4
1252;2
1253;5
1254;2
1255;5
1257;7
1258;5
1260;28
1261;10
1263;175
1264;147
1265;80
1266;1
1267;1
1268;11
1269;1
1270;8
1273;6
1274;1
1279;286
1280;3688
1282;26
1283;81
1284;1
1285;1
1286;5
1288;4
1290;59
1292;6
1293;6
1294;1
1296;71
1298;12
1300;52
1301;3812
1302;9
1303;10
1304;17
1305;14
1306;8
1307;9702
1308;111
1309;22
1310;1
1311;959
1313;605
1314;205
1318;4
1322;16
1323;38
1326;119
1328;94
1329;29
1334;1396
1335;39
1336;93
1337;142
1338;19
1340;61
1345;2
1346;812
1348;272
1349;2026
1350;418
1351;378
1352;100
1353;82
1354;5
1356;3
1357;307
1358;292
1359;38
1360;10
1363;38
1364;65
1366;235
1371;1
1373;5
1375;20
1376;8
1377;23
1378;6
1381;9
1382;1
1383;3
1385;231
1386;422
1390;12
1391;18
1392;2
1393;25
1396;223
1397;50
1398;29
1399;16
1401;5
1402;58
1404;54
1405;321
1406;38
1408;68
1413;1
1421;73
1422;15
1423;86
1426;5
1428;63
1449;3
1450;22
1451;19
1452;17
1454;10
1455;16
1459;4
1464;24
1465;88
1467;18
1471;27
1472;9
1473;6
1474;2
1476;1
1478;7
1482;21
1484;1
1485;821
1488;21
1490;87
1491;679
1492;92
1493;11
1494;31
1495;5
1496;106
1497;29
1498;12
1499;28
1501;39
1502;336
1503;24
1504;3
1505;54
1506;56
1509;89
1510;22
1511;511
1512;85
1513;23
1515;10
1516;3
1517;3
1519;77
1520;408
1521;15
1522;98
1525;2
1526;3
1527;142
1528;307
1529;67
1530;10
1531;79
1532;8
1533;3
1534;64
1535;15
1537;5
1538;4
1540;16
1541;27
1542;4
1544;3
1547;59
1548;2
1551;5
1553;1
1556;18
1557;18
1559;21
1561;20
1562;1
1564;53
1569;6
1573;1
1575;40
1578;18
1579;1
1580;12
1581;2
1582;3
1583;22
1584;194
1585;2
1587;12
1589;1
1590;53
1591;12
1596;1
1597;50
1598;109
1599;18
1600;2
1601;18
1605;1
1606;2
1607;1
1610;161
1613;83
1616;1
1618;19
1620;3
1622;9
1623;10
1624;75
1629;224
1630;9
1632;4
1633;1
1637;127
1639;288
1640;13
1641;4
1642;13
1643;1
1647;8
1648;1
1649;1
1650;4
1652;2
1654;12
1657;2
1661;1
1663;2
1664;11
1670;4
1678;33
1680;15
1681;12
1684;3
1685;1
1687;1
1688;2
1689;3
1693;3
1694;20
1696;17
1707;2
1710;17
1716;45
1717;19
1718;2
1721;4
1724;4
1725;2
1730;89
1731;27
1732;15
1735;9
1736;185
1737;3
1741;1
1744;24
1749;1
1750;3
1753;2
1760;110
1762;14
1763;7
1764;8
1766;4
1767;4
1768;6
1771;1
1773;4
1774;4
1778;7
1780;1
1785;1
1813;4
1817;5
1822;2
1823;6
1827;34
1828;23
1829;11
1830;9
1833;15
1835;3
1839;3
1843;2
1847;2
1848;4
1849;3
1850;2
1852;1
1854;2
1865;3
1867;3
1873;3
1883;50
1886;5
1888;1
1898;5
1903;4
1905;1
1910;3
1912;1
1914;3
1919;1
1930;3
1938;1
1955;1
1988;1
1992;2
1999;1
2001;1
2002;1
2006;1
2013;2
2017;1
2023;8
2024;1
2033;7
2034;6
2035;3
2045;7
2049;15
2051;14
2052;3
2053;2
2054;1
2055;2
2057;1
2060;1
2062;1
2070;4
2077;2
2088;1
2092;4
2095;5
2102;3
2112;3
2129;1
2143;2
2146;6
2148;3
2157;40
2158;2
2160;5
2162;10
2164;1
2172;13
2175;2
2177;12
2184;1
2191;8
2197;9
2202;4
2203;4
2205;3
2206;17
2207;41
2208;12
2209;91
2210;7
2214;6
2220;20
2221;1
2222;86
2223;125
2225;3
2251;3
2289;45
2290;5
2291;9
2292;7
2293;71
2296;4
2298;7
2314;2
2315;1
2322;10
2323;1
2330;3
2331;4
2335;2
2340;2
2350;1
2355;1
2360;3
2369;1
2371;4
2374;31
2375;26
2377;12
2378;49
2382;2
2421;9
2422;1
2426;2
2698;16
2701;1
2702;2
2717;30
2718;4
2737;14
2738;236
2739;21
2741;7
2742;35
2743;13
2745;76
2746;1
2747;17
2748;40
2750;15
2751;417
2754;50
2756;14
2757;3
2951;3
2952;1
3039;1
3042;4
3046;1
4756;3
4842;2
4874;2
4892;3
5027;1
5052;1
5254;1
5339;1
5454;1
5693;2
5758;2
5759;3
5762;2
5799;1
5884;1
5974;1
10239;54417
10288;5
10501;1
10508;2
10509;4
10632;1
10663;11
10683;1
10699;8
10704;37
10713;1
10744;1
10747;1
10752;1
10756;1
10778;1
10780;3
10803;22
10841;548
10849;1
10860;5
10872;1
12333;441
12348;5
