sample read1 read2
WW_210304_KW1_S49 WW_210304_KW1_S49_R1_001.fastq.gz WW_210304_KW1_S49_R2_001.fastq.gz
WW_210304_KW2_S50 WW_210304_KW2_S50_R1_001.fastq.gz WW_210304_KW2_S50_R2_001.fastq.gz
