TaxID;output.DNA_220525_20.22hmix_centri_BIOMcombi_S9_kaiju.out;output.DNA_220525_22.24hmix_centri_BIOMcombi_S10_kaiju.out;output.DNA_220602_20.22hmix_centri_BIOMcombi_S11_kaiju.out;output.DNA_220602_20.22hmix_cer_BIOMcombi_S13_kaiju.out;output.DNA_220602_22.24hmix_centri_BIOMcombi_S12_kaiju.out;output.DNA_220602_22.24hmix_cer_BIOMcombi_S14_kaiju.out;output.DNA_220607_20.22hmix_centri_BIOMcombi_S17_kaiju.out;output.DNA_220607_20.22hmix_cer_BIOMcombi_S15_kaiju.out;output.DNA_220607_22.24hmix_centri_BIOMcombi_S18_kaiju.out;output.DNA_220607_22.24hmix_cer_BIOMcombi_S16_kaiju.out;output.DNA_220616_20.22hmix_cer_BIOMcombi_S19_kaiju.out;output.DNA_220616_22.24hmix_cer_BIOMcombi_S20_kaiju.out;output.DNA_220623_24hmix_cer_BIOMcombi_S21_kaiju.out;output.DNA_220623_24hmix_cer_BIOMminiprep_S22_kaiju.out;output.DNA_220629_20.22hmix_cer_BIOMcombi_S25_kaiju.out;output.DNA_220629_20.22hmix_cer_BIOMminiprep_S23_kaiju.out;output.DNA_220629_22.24hmix_cer_BIOMcombi_S26_kaiju.out;output.DNA_220629_22.24hmix_cer_BIOMminiprep_S24_kaiju.out;output.DNA_220707_20.22hmix_cer_BIOMminiprep_S27_kaiju.out;output.DNA_220707_20.22mix_cer_BIOMcombi_S29_kaiju.out;output.DNA_220707_22.24hmix_cer_BIOMcombi_S30_kaiju.out;output.DNA_220707_22.24hmix_cer_BIOMminiprep_S28_kaiju.out;output.DNA_220719_20.22mix_cer_BIOMcombi_S31_kaiju.out;output.DNA_220719_22.24hmix_cer_BIOMcombi_S32_kaiju.out
121821;2;1;3;NA;NA;NA;1;NA;NA;2;1;NA;NA;NA;1;NA;2;1;NA;NA;NA;1;NA;NA
122277;52;54;41;28;23;15;11;17;17;24;20;8;25;20;33;19;56;17;35;21;44;44;4;6
122355;2;1;2;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;1;1;1;NA
122706;32;50;35;124;23;56;33;22;58;38;32;19;92;63;121;79;309;48;88;52;118;103;11;12
123312;2;1;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
123820;1;2;1;11;NA;3;7;3;9;7;5;6;11;5;8;3;24;3;13;7;15;14;5;2
123822;1;7;NA;5;3;2;NA;4;5;5;3;2;1;2;6;4;4;2;6;5;6;6;NA;NA
123824;1;1;NA;5;2;3;7;1;5;2;5;2;5;1;8;NA;25;6;8;8;3;8;2;2
123899;14;12;9;6;2;NA;1;3;3;6;3;4;5;4;1;7;10;3;8;1;7;8;NA;NA
124225;1;1;NA;1;NA;1;NA;NA;5;2;11;14;5;3;1;4;2;NA;2;1;1;6;2;NA
124798;1;NA;1;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
125216;60;15;6;18;5;6;4;2;11;3;13;8;7;2;6;2;21;5;15;11;11;11;4;5
125288;1;NA;NA;2;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
125614;8;10;3;7;4;4;4;8;8;15;18;9;10;13;8;5;11;4;5;1;9;24;5;1
125627;3;2;3;3;3;3;3;1;1;3;10;2;5;2;3;5;2;2;3;2;8;4;NA;1
126157;4;6;1;6;1;3;3;4;3;3;6;2;6;6;6;1;31;8;13;4;5;8;2;2
126333;5;5;3;1;4;1;NA;NA;2;3;3;2;6;8;9;18;30;11;6;3;16;7;1;NA
126344;2;NA;2;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;1;2;NA;NA;1;NA;NA;3;NA;1;NA
126385;7;6;4;15;4;4;12;3;10;3;9;9;9;9;18;5;38;6;5;1;8;13;3;4
126569;1;NA;NA;1;NA;1;NA;NA;NA;1;NA;2;NA;2;NA;NA;1;1;NA;2;1;2;NA;NA
127458;3;3;3;5;3;13;3;1;4;3;1;1;14;5;11;5;32;6;17;7;8;16;NA;2
127886;1;1;NA;2;2;1;1;NA;4;1;1;6;5;11;5;1;9;2;10;1;5;8;NA;1
127891;1;1;2;1;1;2;1;2;2;NA;2;2;1;3;5;1;8;1;3;2;8;2;NA;NA
128574;3;7;2;8;NA;4;4;NA;NA;2;5;5;4;10;6;2;11;NA;3;12;9;7;2;NA
128780;32;15;17;3;16;1;3;11;7;7;10;4;4;3;7;6;8;6;5;3;18;9;1;1
128782;13;7;12;7;4;1;1;6;2;6;5;2;5;3;11;3;9;3;3;2;7;2;NA;2
128785;11;15;31;3;18;6;5;4;2;5;5;5;5;NA;4;NA;6;3;9;3;10;14;1;1
128827;46;58;31;131;31;60;48;18;75;33;73;71;84;85;117;77;258;61;133;74;90;137;19;29
129052;5;4;NA;1;2;NA;2;2;4;8;5;3;2;1;1;NA;5;NA;NA;NA;1;17;NA;NA
129337;10;11;2;15;3;8;11;1;11;5;5;11;10;13;26;5;52;8;20;9;21;24;8;5
129338;4;5;2;5;1;3;NA;NA;4;2;2;6;5;2;3;8;9;6;5;3;5;5;NA;1
129577;6;3;3;5;2;2;5;10;2;9;21;13;9;4;4;4;10;2;8;8;11;5;4;1
129578;5;7;6;8;2;10;26;NA;26;6;9;14;13;5;13;2;24;4;6;3;9;8;2;3
129701;9;19;1;4;1;4;1;2;13;1;NA;1;1;2;6;4;6;1;9;3;5;7;1;NA
129910;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
129921;4;2;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA
129957;5;13;10;28;9;8;20;11;26;21;10;19;15;12;27;14;47;16;30;15;29;33;5;7
130049;11;8;2;16;3;11;6;2;13;5;12;7;16;12;24;13;51;10;21;8;19;23;6;4
130788;5;5;2;7;3;6;NA;1;1;3;NA;1;2;3;11;1;11;1;2;2;3;10;2;2
131109;4;3;2;3;NA;2;2;1;NA;1;1;1;3;3;8;4;7;4;4;1;1;2;NA;NA
131111;29;32;17;7;12;3;7;5;7;8;5;2;7;9;7;13;20;20;17;8;15;19;2;1
131112;3;4;1;NA;1;NA;NA;2;2;1;NA;NA;1;1;1;1;4;2;NA;2;1;1;NA;1
131540;1;1;NA;1;NA;NA;NA;NA;2;NA;1;NA;NA;NA;NA;NA;1;NA;1;1;NA;1;2;NA
131567;345;382;860;847;819;416;367;176;470;242;415;248;445;360;614;268;1259;218;473;290;826;700;149;149
131568;5;8;5;7;4;1;2;NA;1;3;1;NA;NA;2;NA;3;1;NA;2;2;3;3;NA;1
132132;13;16;43;11;38;3;3;1;7;2;4;3;7;7;19;9;32;9;16;20;16;11;3;5
132144;10;5;2;9;6;4;3;4;5;7;5;5;13;2;5;5;19;1;8;4;14;11;3;2
132476;1;1;2;4;NA;4;6;2;8;NA;5;3;4;1;7;3;22;1;10;8;4;12;5;5
132920;1;6;2;17;2;5;4;NA;3;2;4;3;9;7;12;8;16;4;9;4;5;9;2;1
132925;6;13;2;70;5;16;55;12;46;13;45;24;11;16;110;19;167;30;68;34;43;66;55;36
132932;21;29;14;36;15;8;12;9;25;28;21;17;24;28;53;29;128;29;47;34;45;36;5;4
133190;30;32;30;20;12;5;14;6;13;12;5;4;6;15;25;7;31;6;4;2;10;12;2;4
133409;1;NA;NA;2;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;1;NA;NA
133412;2;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;1
133448;13;11;3;11;2;12;13;10;15;14;19;7;11;7;11;2;29;8;9;6;21;18;2;5
133539;5;6;4;15;3;4;7;8;10;3;11;7;16;2;8;3;23;2;7;7;15;9;2;10
133552;3;NA;NA;NA;NA;NA;1;NA;NA;NA;1;NA;NA;NA;4;NA;NA;NA;NA;1;1;NA;NA;NA
133704;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
133724;2;3;1;6;3;1;NA;NA;4;NA;4;NA;1;2;2;5;13;2;NA;5;4;3;NA;NA
133924;7;3;2;NA;NA;NA;NA;NA;NA;1;3;NA;1;2;1;NA;2;NA;NA;NA;2;NA;NA;NA
133926;10;3;2;NA;2;NA;1;NA;2;1;NA;NA;3;1;3;NA;5;5;2;1;3;2;NA;NA
134034;7;6;4;1;2;NA;1;2;NA;2;6;1;3;1;1;1;5;1;2;1;6;2;NA;NA
134533;341;451;297;601;279;265;230;263;341;431;705;501;610;831;722;651;1357;559;770;424;917;1318;100;116
134534;39;35;51;48;70;27;29;25;45;39;79;81;40;81;33;30;59;33;46;21;188;214;11;15
134537;16;19;15;11;10;3;5;5;5;14;10;4;6;10;11;12;25;9;20;11;19;14;2;2
134602;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA
134621;1;1;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;1;NA;1;NA;NA;NA;NA;3;NA;NA;NA;NA
134623;4;1;2;10;1;1;NA;NA;3;1;5;2;2;2;1;1;3;2;4;NA;8;1;NA;1
134959;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA
134964;1;NA;NA;3;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;1;NA;2;NA;NA;NA;2;NA;NA;NA
134984;1;NA;1;1;NA;NA;NA;NA;1;NA;1;NA;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;NA
135082;6;4;1;2;1;NA;NA;1;3;NA;2;NA;3;3;5;2;9;5;1;2;1;1;NA;NA
135083;5;5;15;8;5;3;4;3;2;2;4;2;5;6;9;2;15;6;4;5;15;8;1;NA
135193;6;2;2;5;5;9;5;5;4;3;3;8;11;6;6;7;28;8;9;9;6;10;NA;2
135487;38;27;13;12;3;12;14;3;21;9;17;15;13;13;49;16;48;14;26;9;24;17;13;6
135575;10;7;11;90;18;46;9;7;24;8;15;17;27;22;25;12;72;13;21;9;19;33;5;2
135577;4;NA;NA;1;NA;NA;NA;NA;NA;NA;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA
135588;3;4;3;8;6;8;3;1;14;5;3;7;1;NA;8;2;16;1;13;7;7;4;2;3
135613;6;4;1;4;NA;1;2;NA;5;3;2;1;2;4;9;6;10;NA;4;1;3;3;3;NA
135614;49;20;8;19;9;7;15;6;10;11;10;6;4;11;17;15;29;11;17;8;19;15;2;3
135616;5;11;3;11;2;10;11;8;14;14;31;16;10;5;2;3;14;4;8;9;18;17;7;4
135618;3;4;4;10;5;4;5;4;4;4;9;3;2;7;12;4;10;4;7;3;2;12;NA;4
135619;18;31;24;45;24;17;26;17;20;26;25;7;29;26;46;17;98;24;25;37;64;52;9;11
135620;8;6;2;2;3;3;5;5;6;4;2;3;8;4;2;2;13;5;3;6;11;6;3;4
135621;615;798;508;360;407;157;277;395;427;587;505;289;300;341;539;507;1042;424;620;343;1061;1068;85;104
135622;6;12;12;34;9;19;30;18;30;19;35;27;38;20;25;21;38;15;27;16;45;60;15;8
135625;1;NA;1;1;NA;NA;2;NA;2;NA;2;1;2;NA;2;NA;1;NA;NA;NA;NA;NA;NA;NA
135626;1;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
135719;9;7;1;1;1;NA;NA;1;NA;3;NA;1;1;1;2;NA;2;NA;1;NA;2;1;NA;NA
135739;1;NA;NA;NA;2;NA;NA;NA;1;NA;1;NA;NA;1;NA;NA;NA;1;NA;NA;NA;2;NA;NA
135740;59;12;7;4;2;1;2;7;4;4;10;1;3;8;5;7;5;2;3;3;7;9;1;NA
135826;12;4;4;42;6;15;8;6;10;3;10;10;12;17;13;4;32;6;13;7;9;14;NA;3
135950;1;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
136093;2;NA;1;1;NA;NA;NA;1;NA;NA;NA;NA;NA;2;7;NA;3;NA;3;NA;1;2;1;NA
136099;1;NA;NA;2;NA;NA;NA;NA;NA;1;NA;NA;NA;1;NA;NA;1;1;NA;1;2;NA;NA;NA
136274;2;5;5;2;NA;NA;NA;1;NA;1;NA;1;2;NA;2;NA;2;NA;NA;NA;NA;NA;NA;NA
136468;2;4;6;1;10;1;NA;NA;1;1;NA;1;NA;3;1;NA;3;2;1;4;2;1;NA;NA
136492;55;43;19;67;27;24;33;28;32;49;42;31;32;81;31;33;54;26;68;30;45;78;3;1
136547;23;19;6;12;7;3;10;11;7;11;13;9;23;10;18;9;31;12;12;4;15;20;1;2
136548;15;8;8;2;4;5;1;1;3;8;1;1;1;2;3;2;2;1;NA;4;7;2;NA;1
136609;2;NA;NA;1;NA;1;1;NA;2;NA;1;NA;NA;NA;NA;NA;NA;1;NA;NA;2;2;NA;NA
136841;98;70;91;29;79;8;13;13;17;20;36;11;33;22;35;23;59;16;21;21;85;34;3;3
136842;1;NA;1;2;9;NA;1;2;3;1;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA
136843;7;7;1;9;2;2;2;2;3;5;4;3;4;6;NA;4;18;1;5;8;15;11;4;NA
136845;40;36;12;20;16;8;13;9;23;7;16;12;11;10;31;11;32;7;11;3;34;26;5;2
136846;60;30;26;11;23;3;12;5;13;8;5;5;7;7;9;9;21;6;4;15;25;18;1;1
136849;42;51;49;41;45;19;12;17;27;28;43;25;50;37;46;33;98;40;63;38;54;58;11;9
136857;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;1;NA;NA;NA;NA;NA
136992;4;4;4;4;5;1;NA;1;2;3;6;3;10;4;10;4;18;8;7;NA;9;8;1;NA
136993;3;2;NA;NA;3;1;3;2;4;4;4;2;3;4;3;1;4;NA;1;NA;1;2;NA;1
137357;4;4;NA;12;NA;4;4;9;7;3;7;2;4;3;7;4;17;5;10;7;13;10;2;1
137545;8;13;10;7;7;9;6;4;2;6;7;9;5;5;14;14;24;12;15;5;7;11;1;2
137591;14;18;8;13;2;5;4;2;12;5;9;2;7;7;14;11;36;15;9;8;43;36;NA;1
137658;18;7;15;1;5;3;NA;1;NA;1;1;1;NA;2;NA;7;4;3;2;4;5;4;1;NA
137716;1;1;5;NA;2;1;NA;1;1;1;NA;3;2;1;3;1;2;3;NA;NA;1;2;1;1
137721;3;1;3;NA;NA;1;NA;NA;NA;NA;NA;NA;1;1;2;NA;1;1;1;1;NA;1;NA;NA
137722;5;3;1;1;NA;1;1;NA;1;NA;2;1;NA;NA;1;NA;NA;NA;NA;NA;1;1;NA;NA
137730;34;56;16;60;18;36;33;37;37;46;60;55;52;62;49;31;75;23;61;23;43;76;12;5
137732;2;4;4;9;5;4;5;5;5;10;10;12;8;1;6;1;14;1;6;1;8;7;NA;1
137733;3;2;NA;4;NA;1;1;1;1;1;4;1;1;1;4;2;4;2;4;3;4;9;1;1
137778;3;3;NA;29;NA;4;21;2;25;1;74;59;11;4;33;8;61;4;20;14;18;24;8;10
137838;24;18;7;54;9;21;26;9;70;20;27;27;31;24;84;34;176;33;75;30;52;89;21;25
137993;3;3;3;6;2;2;7;NA;4;2;6;3;NA;NA;7;3;17;1;6;2;5;1;3;3
138072;4;6;1;5;3;2;1;2;5;5;3;2;2;6;3;6;3;3;5;1;5;7;1;2
138073;1;1;NA;2;2;NA;NA;NA;3;1;2;2;NA;2;3;1;2;NA;1;2;4;6;NA;2
138074;20;21;9;7;4;6;5;7;4;10;7;11;14;14;13;14;39;13;9;14;20;21;4;1
138118;378;315;198;60;198;15;30;68;49;88;50;38;60;67;122;86;198;81;75;69;175;95;10;8
138336;2;3;1;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;1;NA;1;NA;NA;NA;1
138563;2;2;2;9;2;4;4;4;14;4;17;8;5;9;18;10;53;8;21;2;5;21;6;4
138595;5;1;NA;1;1;1;NA;NA;1;1;NA;NA;NA;NA;NA;NA;2;NA;1;1;2;4;1;NA
138851;3;4;4;22;4;11;3;1;13;1;5;3;14;13;8;5;18;7;6;8;6;16;4;NA
139043;1;5;2;11;2;7;3;2;6;4;10;5;7;9;7;1;15;3;24;6;18;18;2;6
139208;2;8;4;2;1;NA;1;1;1;1;2;NA;45;14;1;NA;2;2;3;1;2;1;NA;NA
139438;3;7;3;6;4;8;8;1;8;3;1;5;10;7;13;6;39;6;16;1;6;8;6;8
139808;1;4;NA;6;1;2;2;1;2;1;2;2;5;2;4;3;15;3;7;4;4;6;3;NA
140057;25;22;7;6;2;4;4;NA;3;1;8;8;7;3;7;10;27;3;5;3;13;11;6;10
140058;1;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;1;NA;NA;2;NA;NA
140098;1;1;3;1;NA;NA;NA;NA;NA;NA;1;1;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA
140314;116;134;62;147;61;84;68;100;99;137;100;93;124;162;112;95;176;69;136;77;154;182;16;5
140626;5;2;2;14;5;15;6;NA;4;2;8;4;10;3;13;6;16;3;NA;12;8;7;5;NA
141451;3;1;NA;2;NA;NA;2;NA;1;1;NA;1;1;1;2;1;2;1;NA;NA;4;3;NA;1
141692;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;1;NA;NA
141948;4;2;3;NA;NA;3;NA;2;1;1;4;3;NA;NA;1;1;6;3;NA;NA;2;2;1;NA
141949;10;31;10;40;10;17;13;9;16;13;17;17;19;11;20;11;30;5;18;11;32;32;10;3
142585;15;12;4;2;2;NA;1;2;4;8;8;1;4;2;3;5;15;3;1;2;4;4;2;2
142588;2;2;NA;11;1;NA;7;1;12;6;2;4;9;NA;3;1;3;NA;3;1;3;5;4;2
142877;4;9;7;6;4;2;1;8;5;16;5;4;9;5;10;6;26;4;14;4;4;5;1;3
143223;1;2;1;NA;NA;NA;NA;NA;1;1;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
143224;1;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;1;NA;2;1;NA;1;NA;NA;NA;NA;NA;NA;NA
143361;2;14;5;2;2;2;3;1;5;2;2;2;1;5;7;6;11;8;8;4;8;6;2;1
143495;10;3;5;18;1;12;2;1;6;2;4;4;11;4;11;12;22;5;12;5;4;9;5;NA
144185;3;3;4;11;4;7;7;4;11;7;7;5;5;3;5;4;8;3;2;3;5;8;4;3
144191;11;6;1;1;1;1;1;1;1;NA;NA;1;NA;NA;1;2;2;NA;NA;NA;3;NA;NA;3
144530;1;1;1;NA;NA;1;1;NA;1;NA;2;2;1;NA;2;2;1;NA;2;NA;NA;1;NA;NA
145285;1;2;NA;3;NA;1;1;1;3;NA;1;NA;2;1;NA;NA;1;1;2;1;NA;4;NA;1
145287;2;NA;1;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
145357;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
145483;1;NA;1;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;1;NA;NA
145579;272;216;526;1436;687;297;879;22;2840;45;244;166;158;185;4003;229;4599;216;248;439;1702;676;362;300
145857;1;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA
146017;4;2;NA;NA;NA;NA;1;NA;NA;NA;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA
146021;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;2;3;NA;4;NA;2;NA;NA;1
146035;2;NA;NA;NA;NA;NA;NA;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA
146474;5;3;1;3;2;1;1;1;NA;2;1;NA;3;3;3;1;2;1;2;2;1;4;NA;NA
146475;1;NA;1;1;NA;1;NA;NA;NA;1;1;NA;NA;NA;NA;NA;NA;NA;2;2;NA;NA;NA;NA
146476;11;9;7;6;5;1;4;2;3;10;1;1;6;9;4;3;2;1;3;2;3;6;NA;NA
146786;1;2;NA;3;NA;3;NA;1;2;NA;1;NA;2;1;2;1;2;1;1;1;3;3;NA;NA
146806;5;1;NA;3;3;1;1;1;2;1;5;1;3;NA;2;2;9;2;NA;5;4;4;1;1
146817;18;33;9;54;14;28;30;13;87;14;30;41;29;23;104;37;214;40;111;55;73;82;15;8
146819;2;1;NA;NA;1;5;NA;NA;3;1;1;2;40;19;1;NA;1;NA;NA;NA;3;1;NA;NA
146820;1;1;NA;NA;1;NA;NA;NA;NA;3;1;NA;3;NA;1;NA;NA;1;NA;NA;3;NA;NA;NA
146907;1;NA;NA;1;NA;1;2;1;1;1;1;2;NA;NA;4;NA;2;1;1;1;NA;1;1;NA
146919;3;8;8;11;NA;5;6;NA;6;3;7;3;4;8;11;4;19;3;8;1;6;7;3;3
146936;1;4;2;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;2;NA;1;2;NA;NA;2;1;NA;NA;NA
146938;6;3;4;4;2;1;NA;1;NA;1;2;NA;3;2;2;2;1;NA;3;1;2;1;1;2
146939;50;32;53;20;39;10;8;11;13;11;16;9;13;13;21;8;39;14;19;12;37;19;2;2
146940;18;8;9;12;2;3;4;2;5;7;4;1;NA;NA;11;6;17;6;6;5;13;15;1;1
147047;38;30;17;11;15;3;7;7;5;8;13;2;15;8;24;19;37;23;25;12;14;11;NA;2
147065;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;NA;NA;NA;NA;2;NA;1;1;3;NA;NA;NA
147206;1;2;NA;NA;NA;NA;1;NA;1;NA;NA;NA;NA;NA;NA;NA;1;2;NA;NA;1;NA;NA;NA
147207;7;2;NA;2;1;NA;2;NA;1;1;2;1;1;2;2;1;4;1;4;2;2;8;2;1
147248;2;NA;NA;NA;NA;1;1;NA;1;NA;1;2;NA;NA;NA;NA;2;NA;NA;NA;NA;3;NA;NA
147645;1181;334;186;34;70;10;50;83;37;131;53;23;32;21;49;53;74;38;31;35;118;67;8;9
147709;12;11;4;4;2;3;2;9;10;12;11;12;5;11;2;7;11;4;11;5;14;12;NA;1
147802;1;6;5;10;1;3;2;3;5;5;6;5;5;6;3;5;12;2;14;4;11;3;NA;1
147809;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;2;NA;NA;NA;1;1;NA;NA
148447;4;6;1;1;NA;NA;1;1;1;1;NA;NA;3;3;3;NA;3;1;NA;1;1;NA;1;NA
148604;6;6;4;28;4;13;7;6;18;4;10;21;9;9;9;4;16;4;10;2;14;25;4;3
148813;7;6;25;11;20;9;3;NA;3;NA;19;3;2;6;18;4;15;2;8;13;38;11;3;3
148814;1;3;1;3;3;2;4;1;2;3;3;4;4;2;5;2;6;1;3;1;3;8;3;3
148942;3;18;2;11;3;7;11;7;13;8;14;11;8;24;22;19;37;32;68;21;37;84;2;2
149015;48;50;6;54;4;54;30;25;48;45;98;83;33;90;66;75;166;79;192;56;133;275;9;10
149390;2;5;3;8;NA;5;1;NA;2;4;4;2;2;NA;NA;1;6;3;8;6;6;9;1;NA
149539;8;11;1;21;7;9;4;9;11;6;11;7;10;9;10;5;15;9;13;6;19;20;1;1
149698;62;51;40;25;9;9;11;14;20;22;27;9;19;13;18;27;49;11;25;9;25;28;4;5
150022;2;7;1;19;NA;3;1;1;6;1;2;1;1;1;7;1;11;NA;4;1;NA;4;1;1
150026;2;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1;NA;NA;NA
150055;35;98;44;156;58;74;23;44;51;53;75;91;86;123;76;82;221;86;202;71;161;293;30;13
150056;5;10;1;5;2;2;8;8;28;12;10;7;6;5;5;2;19;NA;12;3;20;14;5;3
150060;1;NA;NA;4;1;NA;NA;NA;1;1;4;2;1;NA;3;1;1;NA;4;NA;2;4;1;1
150123;9;1;3;NA;3;NA;NA;1;NA;1;NA;NA;1;NA;NA;1;2;2;NA;1;NA;NA;NA;2
150146;3;6;2;4;NA;3;NA;1;6;2;4;2;4;3;6;5;16;4;2;NA;6;3;1;1
150172;86;69;12;35;5;13;30;11;85;29;29;10;23;51;79;14;125;14;23;19;21;33;6;6
150203;4;8;2;5;7;1;NA;1;3;1;1;1;1;2;11;7;14;5;12;3;8;5;NA;NA
150247;25;31;6;28;9;14;16;3;32;12;33;18;17;26;31;24;74;30;33;22;46;67;7;6
150248;1;1;NA;1;1;NA;1;NA;6;1;NA;1;NA;1;4;NA;2;NA;NA;NA;4;NA;2;NA
150395;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
150723;21;20;11;8;1;NA;3;1;2;4;1;3;2;4;8;1;7;2;4;5;7;2;1;1
150829;2;5;1;3;2;NA;2;3;4;3;3;NA;6;1;3;5;3;2;4;4;10;6;2;NA
150832;8;7;3;2;NA;2;NA;1;NA;2;NA;NA;1;1;NA;1;1;2;1;1;3;NA;NA;2
151276;5;12;7;56;7;30;8;3;6;7;16;11;14;13;15;12;38;8;19;14;16;20;7;5
151340;1;NA;NA;NA;NA;1;2;NA;6;1;NA;NA;NA;3;2;NA;2;1;2;NA;NA;3;NA;NA
151754;2;1;9;2;17;1;2;1;2;NA;3;1;1;NA;2;NA;4;NA;NA;3;5;1;1;NA
151755;14;19;53;16;66;4;5;1;22;4;15;2;2;3;16;2;30;NA;9;21;27;7;2;1
151783;35;37;31;23;21;13;15;10;8;14;11;12;32;16;17;12;48;7;22;13;46;25;3;NA
151784;16;4;6;3;3;NA;NA;NA;NA;1;1;NA;3;2;1;2;1;1;1;1;3;1;NA;NA
151894;8;13;2;28;7;16;20;6;34;7;20;12;20;32;41;13;62;11;17;7;25;11;3;9
151895;20;21;6;48;8;28;36;15;54;27;33;15;30;37;70;42;141;26;33;21;44;81;41;31
152141;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
152161;6;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA
152260;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;1;NA;NA;NA;1;NA;NA;NA
152267;2;2;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;1;2;NA;NA;NA;NA;NA;NA
152268;6;10;8;24;3;5;15;3;20;7;14;7;10;5;27;7;38;4;34;13;21;24;7;5
152331;4;6;8;13;7;7;5;4;6;9;10;12;15;6;14;1;18;2;6;5;14;10;7;2
152335;8;10;29;24;8;7;1;3;4;6;4;10;2;6;8;4;15;5;4;2;11;5;3;5
152480;43;29;14;11;12;6;10;14;17;13;20;5;11;18;16;14;35;16;16;5;21;17;4;1
152489;2;2;NA;1;NA;2;1;1;1;NA;3;1;2;NA;6;1;3;1;2;3;1;3;NA;NA
152490;1;NA;2;1;NA;NA;3;NA;3;NA;1;2;1;2;2;NA;7;NA;NA;1;1;1;NA;1
