Sample	Total Reads	NoDup Reads	
output/WW_220527_20-22hmix_centri_BIOM_S44	10914158	7711661 (0.7065740664556991%)	
output/WW_220527_20-22hmix_cer_trizol_PCRinh_rem_S52	9442102	6260508 (0.663041767606408%)	
output/WW_220527_20-22hmix_cer_trizol_S48	8895714	6255497 (0.7032034752915842%)	
output/WW_220527_22-24hmix_PCRinh_rem_S51	9676832	6515073 (0.6732650727014792%)	
output/WW_220527_22-24hmix_S47	9400061	2747800 (0.2923172519837903%)	
output/WW_220527_22-24hmix_centri_BIOM_S45	13041228	9086266 (0.6967339272037879%)	
output/WW_220527_22-24hmix_cer_trizol_PCRinh_rem_S53	5106047	3626390 (0.7102147708393597%)	
output/WW_220527_22-24hmix_cer_trizol_S49	11740628	8244003 (0.7021773451982296%)	
output/WW_220602_20-22hmix_S54	12975795	8949802 (0.689730532888351%)	
output/WW_220602_20-22hmix_centri_BIOMcombi_S60	18001730	9820627 (0.5455379566297239%)	
output/WW_220602_20-22hmix_cer_BIOM_S56	12436829	8804432 (0.7079322229163076%)	
output/WW_220602_20-22hmix_cer_BIOMcombi_S58	7615889	4997438 (0.6561857716151063%)	
output/WW_220602_22-24hmix_S55	16798876	12925028 (0.7693983811774073%)	
output/WW_220602_22-24hmix_cer_BIOM_S57	11320586	7708257 (0.6809061827718106%)	
output/WW_220602_22-24hmix_cer_BIOMcombi_S59	14073088	9483868 (0.6739009945791571%)	
output/WW_220607_20-22hmix_S61	11863951	8129533 (0.6852298193072442%)	
output/WW_220607_20-22hmix_cer_BIOMcombi_S63	11647113	7981057 (0.6852390802768034%)	
output/WW_220607_22-24hmix_S62	10543300	7251358 (0.6877692942437378%)	
output/WW_220607_22-24hmix_cer_BIOMcombi_S64	27610462	14136347 (0.5119924107028705%)	
output/WW_220616_20-22hmix_S65	11627981	7987628 (0.6869316349932116%)	
output/WW_220616_22-24hmix_S66	9009242	6409831 (0.7114728408893889%)	
output/WW_220623_24hmix_1_S67	10784793	7408154 (0.6869073889503489%)	
output/WW_220623_24hmix_2_S68	10653467	7474425 (0.7015955463137024%)	
output/WW_220629_20-22hmix_S69	8485497	6003440 (0.7074942104157246%)	
output/WW_220629_20-22hmix_cer_BIOMcombi_S71	10997800	7462452 (0.6785404353597992%)	
output/WW_220629_22-24hmix_S70	19887335	11531352 (0.5798339495965649%)	
output/WW_220629_22-24hmix_cer_BIOMcombi_S72	10757277	7440629 (0.6916833135374314%)	
output/WW_220707_20-22hmix_S73	5106021	3593423 (0.703761892087792%)	
output/WW_220707_20-22hmix_cer_BIOMcombi_S75	9889628	6833517 (0.6909781641938403%)	
output/WW_220707_22-24hmix_S74	8386003	5802733 (0.6919545580892351%)	
output/WW_220707_22-24hmix_cer_BIOMcombi_S76	11178291	7508075 (0.6716657313716381%)	
output/WW_220719_20-22hmix_S1	16828111	10426898 (0.6196119100949595%)	
output/WW_220719_20-22hmix_cer_BIOMcombi_S3	14197174	9658355 (0.680301234597815%)	
output/WW_220719_22-24hmix_S2	14972672	9532791 (0.6366793448757844%)	
output/WW_220719_22-24hmix_cer_BIOMcombi_S4	12312700	8059033 (0.6545301193077067%)	
